"PERTH KINFAUNS CASTLE",,,,,,,,,,,,
Grid ref,NO150226,Long,-3.378315,Lat,56.388002,,,,,,,
Station no,RR404,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.70,,,,,,,,,,,
February,2.24,,,,,,,,,,,
March,1.13,,,,,,,,,,,
April,1.61,,,,,,,,,,,
May,1.59,,,,,,,,,,,
June,2.41,,,,,,,,,,,
July,3.21,,,,,,,,,,,
August,4.36,,,,,,,,,,,
September,2.18,,,,,,,,,,,
October,3.57,,,,,,,,,,,
November,4.06,,,,,,,,,,,
December,3.78,,,,,,,,,,,
Total,33.84,,,,,,,,,,,
Calc annual,33.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
