PERTH KINFAUNS CASTLE GARDEN,,,,,,,,,,,,,,,,,,,,
Grid ref,NO150226,Long,-3.378315,Lat,56.388002,Elevation,20,ft,,,,,,,,,,,,
Station no,RR404,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,1.02,3.87,3.98,,,4.25,,,,,,
February,,,,,,,,,0.83,2.34,3.06,,,3.44,,,,,,
March,,,,,,,,,0.37,1.89,1.17,,,4.23,,,,,,
April,,,,,,,,,3.77,2.55,1.66,,,0.87,,,,,,
May,,,,,,,,,2.84,4.18,1.64,,,1.19,,,,,,
June,,,,,,,,,1.61,1.81,2.6,,,1.8,,,,,,
July,,,,,,,,,0.97,3.17,3.35,,,4.29,,,,,,
August,,,,,,,,,2.96,1.06,4.35,,,4.53,,,,,,
September,,,,,,,,,2.37,3.56,2.27,,,2.22,,,,,,
October,,,,,,,,,5.69,1.41,3.63,,,5.66,,,,,,
November,,,,,,,,,4.56,3.12,4.34,,,1.05,,,,,,
December,,,,,,,,,2.73,3.76,4.07,,,2.63,,,,,,
Total,,,,,,,,,29.72,32.72,36.12,,,36.16,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Records for the 4 years1898-1900, 1903",,,,,,,,,,,,,,,,,,,,
"were considered to be 3"" too low",,,,,,,,,,,,,,,,,,,,
(see Rainfall summary of Perth,,,,,,,,,,,,,,,,,,,,
completed XI 37),,,,,,,,,,,,,,,,,,,,
