KINFAUNS CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO152224,Long,-3.375434,Lat,56.386169,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,1.75,,4.2,2.3,,0.95,3.5,1.35,1.45,,2.5,3.4,5,2,1.45,0.85,0.5,4.3,1.55,3.4,1.7,1.45,1.35,3.96,2.3,2.41,,,,,,,
February,,,1.9,,2.45,1.4,,3.2,3.5,1.45,0.95,,1.9,3.3,2,2,2.9,1.2,4.5,1.5,2.15,1.6,3.4,0.86,1.56,2.12,1.85,1.91,,,,,,,
March,,,1.1,,1.1,0.5,,3.4,1.3,1.05,1.2,,2.7,1,1.5,1.2,3.2,1.6,2,1.4,2,4.35,0.95,2.04,2.55,0.25,1.55,2.67,1.35,,,,,,
April,,,0.5,,4.5,0.9,,1.64,1,1,2.4,,3.7,2.8,3,2.9,1.4,2.2,2.5,0.9,0.5,1.5,2.35,1.35,1.08,0.14,1.38,0,,,,,,,
May,,,3.1,,1.15,5.2,,1.3,2.2,0.4,2.6,,3.2,2.75,1.7,3.7,1.7,1.49,1.4,1.25,2.9,0.88,1.85,3.15,0.9,2.85,1.56,2.1,,,,,,,
June,,,4.8,,2.35,1.6,,0.5,1,1.75,2.5,,1.5,1.9,1.8,2.5,2.3,2.96,4.5,2.25,0.8,3.3,2.45,5.82,2.8,1.6,1.91,1.33,2.1,,,,,,
July,,,3.85,,1.2,1.8,,4,6.35,1.8,0.3,,2.9,2.5,5.85,5.2,1.65,1.2,4.3,1.65,1.2,3.65,5.2,3.24,4.27,4.45,3.96,2.89,3.09,,,,,,
August,,,5.25,,1.4,2.2,,3.5,3.5,1.7,2,,2.7,4.5,5.4,5,2.45,3,1.9,1.55,3.65,1.65,2.8,3.52,1.68,1.98,4.76,1.8,,,,,,,
September,,,0.85,,1.7,1.2,,1,1.65,2.2,2.35,,1.5,1.5,2.75,5,2.2,2.2,3.2,3.25,4.15,4.05,1.33,3.42,5.85,2.23,2.65,1.42,,,,,,,
October,,,1.55,,4.2,2.5,,4.1,3.55,4,2.15,,5.7,2,2.5,0.35,5,4.25,2.65,1.6,2.3,3.6,2.05,1.84,3.1,2.97,4.66,0.85,,,,,,,
November,,,2.7,,1.8,1.7,,3.2,1.45,4.4,2.8,,2.2,5,2.8,3,2,2.4,2,2.7,2.8,3.5,1.55,2.65,3.41,2.17,2.12,2.78,,,,,,,
December,,,3.66,,2.55,2.2,,1.01,4.45,2.9,3.2,,4.4,3,1.3,4,2.8,2.9,3.6,0.75,1.6,2.4,2.17,1.26,3.68,0.45,2.4,2.94,,,,,,,
Total,24.2,24.95,31.01,28.07,28.6,23.5,21.18,27.8,33.45,24,23.9,19.35,34.9,33.65,35.6,36.85,29.05,26.25,33.05,23.1,25.6,33.88,27.8,30.6,32.23,25.17,31.1,23.1,,,,,,,
