"DEAL SEWAGE WORKS",,,,,,,,,,,,
Grid ref,TR375535,Long,1.400540,Lat,51.231233,,,,,,,
Station no,292,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.25,0.69,0.98,2.39,3.68,1.13,,1.00,2.21,0.68,,
February,4.96,1.77,1.22,1.68,2.43,1.04,,1.56,1.37,0.85,,
March,0.74,2.00,1.44,2.44,1.13,2.71,,0.61,2.34,3.51,,
April,0.70,1.61,0.45,2.33,1.17,2.52,,2.17,1.83,1.64,,
May,1.05,1.15,1.71,2.76,2.24,1.61,,3.94,1.32,0.86,,
June,2.27,1.35,2.50,4.56,1.04,5.24,,1.82,1.93,2.82,,
July,1.11,0.67,1.60,5.51,1.16,1.46,,1.55,2.78,2.66,,
August,2.38,1.96,3.97,4.06,2.04,1.32,,1.48,2.97,2.58,,
September,0.67,1.07,0.52,3.54,1.57,2.58,,0.45,2.64,2.12,,
October,1.69,1.45,1.53,5.18,2.21,2.51,,5.48,1.26,7.94,,
November,3.91,1.08,2.27,3.32,1.11,4.16,,2.39,1.18,0.58,,
December,2.75,4.63,2.55,2.48,2.66,0.43,,2.57,2.94,4.60,,
Total,25.48,19.43,20.74,40.25,22.44,26.71,,25.02,24.77,30.84,,
Calc annual,25.48,19.43,20.74,40.25,22.44,26.71,0.00,25.02,24.77,30.84,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,NaN,-0.00,-0.00,0.00,,
