DEAL-WELLINGTON-ROAD,,,,,,,,,,,
Grid ref,TR3760052495,Long,1.4013037,Lat,51.222171,Elevation,17,ft,,,
Station no,292,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,3.34,1.68,1.97,2.5,2.44,,,,
February,,,1.73,3.29,0.92,3.52,2.55,,,,
March,,,2.11,1.13,1.21,1.77,0.38,,,,
April,,1.09,2.48,1.56,2.35,2.67,3.02,,,,
May,,1.09,0.29,3.41,3.18,2.16,1.24,,,,
June,,0.2,1.94,0.63,1.8,0.83,4.3,,,,
July,,,2.08,0.79,3.42,3.58,1.26,,,,
August,,,1.9,0.97,2.14,1.67,1.76,,,,
September,,,4.03,1.7,3.84,2.37,0.99,,,,
October,,0.44,2.37,5.61,4.11,3.21,5.55,,,,
November,,,1.53,2.54,2.84,4.75,6.52,,,,
December,,,3.16,2.98,3.71,3.32,0.69,,,,
Total,,,26.96,26.29,31.49,32.35,30.7,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Note that multiple values are identical to the other Wellington Road gauge.,,,,,,,,,,,
The Observer was Dep Ob 1921-1924 then prime Observer.,,,,,,,,,,,
