DEAL-WELLINGTON-ROAD (SEWAGE WORKS),,,,,,,,,,,,,,,,,,,,
Grid ref,TR374535,Long,1.3991101,Lat,51.231275,Elevation,11,ft,,,,,,,,,,,,
Station no,292,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,3.25,0.69,0.98,2.39,3.68,1.13,,1,2.21,0.68,3.25,,,,,,,,,
February,4.96,1.77,1.22,1.68,2.43,1.04,,1.56,1.37,0.85,3.24,,,,,,,,,
March,0.74,2,1.44,2.44,1.13,2.71,,0.61,2.34,3.51,1.54,,,,,,,,,
April,0.7,1.61,0.45,2.33,1.17,2.52,,2.17,1.83,1.64,2.17,,,,,,,,,
May,1.05,1.15,1.71,2.76,2.24,1.61,,3.94,1.32,0.86,3.59,,,,,,,,,
June,2.27,1.35,2.5,4.56,1.04,5.24,,1.82,1.93,2.82,3.27,,,,,,,,,
July,1.11,0.67,1.6,5.51,1.16,1.46,,1.55,2.78,2.66,2.08,,,,,,,,,
August,2.38,1.96,3.97,4.06,2.04,1.32,,1.48,2.97,2.58,2.21,,,,,,,,,
September,0.67,1.07,0.52,3.54,1.57,2.58,,0.45,2.64,2.12,0.99,,,,,,,,,
October,1.69,1.45,1.53,5.18,2.21,2.51,,5.48,1.26,7.94,2.33,,,,,,,,,
November,3.91,1.08,2.27,3.32,1.11,4.16,,2.39,1.18,0.58,5.91,,,,,,,,,
December,2.75,4.63,2.55,2.48,2.66,0.43,,2.57,2.94,4.6,4.08,,,,,,,,,
Total,25.48,19.43,20.74,40.25,22.44,26.71,,25.02,24.77,30.84,34.66,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1911 Gauge moved to Wellington Road,,,,,,,,,,,,,,,,,,,,
