CNOC NA DOIRE,,,,,,,,,,
Grid ref,NC548199,Long,-4.468338,Lat,58.144087,Elevation,690,ft,,
Station no,5799/21,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.4,5.02
February,,,,,,,,,1.3,4.2
March,,,,,,,,,1.65,1.9
April,,,,,,,,,2.65,2.6
May,,,,,,,,,1.8,1.17
June,,,,,,,,,2.85,3.23
July,,,,,,,,,3.4,2.25
August,,,,,,,,2.36,2.6,3.45
September,,,,,,,,2.44,2.05,1.37
October,,,,,,,,4.85,6.04,3.27
November,,,,,,,,1.55,6.16,2.76
December,,,,,,,,4.35,3.63,7.65
Total,,,,,,,,,40.53,38.87
,,,,,,,,,,
Station no,5799/21,,,,,,,,,
Midas,14481,,,,,,,,,
Hyd Stn,782401,,,,,,,,,
