"BARRHILL, DOCHROYLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX230793,Long,-4.77409,Lat,55.076503,Elevation,548,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,5.5,,9.8,5.89,5.14,5.01,5.1,5.3,5.93,3.91,4.09,2.75,6.34,,3.57,1.88,3.38,6.34,7.85,2.75,5.3,8.15,6,3.9,5.99,2.84,5.45,4.5,2.79,2.6,4.2,7.6,3.05,3.7,,,,
February,,,5.6,,7.18,6.2,1.9,2.32,1.78,3.88,1.67,0.58,2.56,4.66,7.37,,3.35,3.7,6.09,3.22,4.85,2.57,3.39,5.32,4.2,4.5,3.3,3.3,2.6,2.9,6.3,4.6,2.46,2.1,4.29,6.85,,,,
March,,,5.15,,4.35,5.32,4.08,1.76,1.98,3.27,3.89,3.09,1.08,2.49,2.49,4.95,7.14,6.65,1.79,4.2,0.58,2.07,4.19,7.5,2.06,4.08,3.1,4.69,3.99,2.15,2.38,0.7,4.69,3.45,4.64,1.62,,,,
April,,,4.4,,1.4,4.4,2.07,2.98,2.88,2.7,1.4,2.19,1.03,1.2,1.91,3.66,2.27,3.19,3.76,4.75,3.47,4.77,2.86,1.92,3.76,3.21,1.54,2.75,1.3,2.8,2.8,2.87,0.98,3,1.9,2.8,,,,
May,,,2.4,,4.32,2.7,3.32,2.05,4.15,3.5,3.45,3.2,5.38,1.69,3.19,0.5,0.45,1.3,3.69,4.05,4.95,2.01,3.4,4.12,2.6,1.21,5.39,3.98,1.38,1.5,2.3,1.9,1.08,2.95,2.1,1.2,,,,
June,,,4.28,,0.55,1.15,1.34,0.7,5.01,1.05,5.71,1.09,4.02,1.79,3.5,1.35,3.52,4.78,2.7,2.05,2.35,3.1,2.2,4.29,2.15,2.5,1.28,4.93,2.93,3.02,2.48,2.5,4.85,2.8,0.85,0.98,,,,
July,,,6.6,,4.36,2.05,3.62,3.86,4.78,4.1,4.25,1.39,3.2,4.5,3,4.4,6.68,2.61,1.56,3.6,2.98,0.7,3.57,4.75,3.9,1.67,3.33,2.65,2.84,4.7,3.48,2.08,1.7,0.5,3.1,3.2,,,,
August,,,3.52,,2.41,2.85,3.16,2.55,5.08,5.88,3.38,7.6,6,4.5,3.59,5.23,3.1,8.05,6.37,1.96,4.3,5.97,4,7.05,7.49,6.26,4.45,4.95,3.5,2.25,5.3,1.8,4.19,1.2,3.98,1.55,,,,
September,,,5.7,,4.55,7.1,4.15,4.08,2.08,3.72,5.1,5.42,5,2.67,0.19,1.2,5.68,4.91,4.75,7.07,4.25,5,6.27,5,5.47,2.86,1.6,1.38,4.78,2.52,1.04,1.9,2.15,2.62,2.02,0.7,,,,
October,,,3.98,,5.15,7.3,4.04,2.68,2.28,4.36,4.26,10.08,5.3,5.95,6.9,4.78,2.93,3.04,3.45,3.55,8.08,5.72,3.11,11.21,3.85,5.7,9.14,7.07,1.88,6.18,2.9,4,4.75,2.9,1.5,3.5,,,,
November,,,8.72,,5.33,3.3,4.92,3.05,7.45,5.15,13.9,5.71,6.67,3.77,6.01,5.8,2.72,5.22,5.62,8.25,5.55,4.8,5.75,5.5,5.05,6.9,3.89,5.58,5.1,2.1,4.3,4.46,3.6,5.6,4.12,1.7,,,,
December,,,,,6.5,3.3,6.77,5.07,6.12,5.86,2.41,8.2,2.7,6.42,7.23,5.94,8.31,7.83,5.93,5.87,7.35,6.92,6.72,6.09,4.2,4.29,7.2,4.5,5.6,4.92,5.92,8.35,6.05,4.44,6.55,6.39,,,,
Total,,,,,55.9,51.56,44.51,36.11,48.69,48.77,55.35,52.46,47.03,42.39,51.72,,49.72,53.16,49.09,54.91,56.56,46.38,50.76,70.9,50.73,47.08,50.21,48.62,41.35,39.54,41.99,37.76,40.7,39.16,38.1,34.19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 1882 deleted estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895 Jan Feb and total deleted as estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
