CHESTER-PARKGATE-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ401673,Long,-2.8981365,Lat,53.199387,Elevation,60,ft.,,,,,,,,,,,,
Station no,RR7263,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,1.28,1.33,3.96,1.15,1.65,0.88,3.5,2.87,2.03,1.79,2.38,2.04,1.06,4.21,,,
February,,,,2.97,2.04,0.17,1.19,2.18,1.75,1.38,3.26,1.41,1.72,1.41,3.24,1.1,2.02,,,
March,,,,0.93,1.11,2.17,3.14,2.35,0.76,1.09,0.92,1.76,1.58,4.08,1.68,2.4,1.65,,,
April,,,,0.64,1.41,1.67,1.19,2.1,1.2,2.67,1.08,1.87,1.99,2.05,0.95,1.95,0.8,,,
May,,,,1.39,2.52,0.77,0.44,1.48,4.57,2.22,1.41,1.36,4.26,3.12,2.09,1.24,2.26,,,
June,,,,1.57,2.51,1.9,2.59,2.16,2.59,2.78,1.9,2.02,1.49,1.27,1.62,2.65,1.22,,,
July,,,,2.63,3.88,4.17,1.93,0.37,0.74,2.26,2.53,3.95,2.18,3.84,1.41,1.79,1.2,,,
August,,,,2.85,3.85,2.01,2.87,2.61,4.03,1.87,6.44,3.2,2.81,3.81,3.48,3.39,2.48,,,
September,,,,1.9,0.77,1.36,3.52,3.93,0.92,2.94,0.89,0.74,1.16,4.07,1.92,1.47,1.24,,,
October,,,6.53,1.87,2.52,4.39,3.71,1.68,3.57,3.34,3.9,2.82,3.59,6.23,1.16,1.73,4.21,,,
November,,,1.81,1.13,1.63,3.4,1.07,2.87,1.31,1.59,3.12,2.91,1.47,3.08,1.76,2.86,1.95,,,
December,,,2.86,3.36,1.98,2.22,3.23,2.03,1.76,2.56,3.17,4.27,1.84,1.42,2.22,0.42,3.44,,,
Total,,,,22.52,25.55,28.19,26.03,25.41,24.08,28.2,31.49,28.34,25.88,36.76,23.57,22.06,26.68,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is 37 Parkgate Road, which appears to be where Rutland Cottage (mentioned on the 1890s record) was located.",,,,,,,,,,,,,,,,,,,,
"Relationship to church is not correct but the observer may have got the church wrong, i.e. St Thomas not St Oswald. Altitudes match",,,,,,,,,,,,,,,,,,,,
