"CHESTER, PARKGATE ROAD, RUTLAND COTTAGE",,,,,,,,,,,,
Grid ref,SJ401673,Long,-2.898137,Lat,53.199387,,,,,,,
Station no,RR7263,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.87,2.03,1.79,2.38,2.04,1.06,4.21,,,,,
February,3.26,1.41,1.72,1.41,3.24,1.10,2.02,,,,,
March,0.92,1.76,1.58,4.08,1.68,2.40,1.65,,,,,
April,1.08,1.87,1.99,2.05,0.95,1.95,0.80,,,,,
May,1.41,1.36,4.26,3.12,2.09,1.24,2.26,,,,,
June,1.90,2.02,1.49,1.27,1.62,2.65,1.22,,,,,
July,2.53,3.95,2.18,3.84,1.41,1.79,1.20,,,,,
August,6.44,3.20,2.81,3.81,3.48,3.39,2.48,,,,,
September,0.89,0.74,1.16,4.07,1.92,1.47,1.24,,,,,
October,3.90,2.82,3.59,6.23,1.16,1.73,4.21,,,,,
November,3.12,2.91,1.47,3.08,1.76,2.86,1.95,,,,,
December,3.17,4.27,1.84,1.42,2.22,0.42,3.44,,,,,
Total,31.49,28.34,25.88,36.76,23.57,22.06,26.68,,,,,
Calc annual,31.49,28.34,25.88,36.76,23.57,22.06,26.68,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,NaN,NaN,NaN,,
