BARNSTAPLE-FORT-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS569332,Long,-4.0442,Lat,51.08026,Elevation,198,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,1.94,4.58,1.65,1.54,4.79,,,4.94,3.89,3.85,5.14,3.43,4.92,6.47,6.62,2.02,6.35,3.94,4.45,2.77,3.95,1.45,4.23,5.61,,,
February,,,,,3.06,5.78,7.05,1.69,2.88,,1.48,0.33,4.21,8.76,0.72,6.37,2.46,3.46,3.57,1.45,1.4,3.9,0.13,3.56,0.35,3.76,2.51,6.73,,,
March,,,,,6.36,0.96,3.47,2.89,1.73,,3.82,3.05,3.69,1.9,1.89,1.21,0.66,3.95,3.76,0.51,3.2,2.01,2.36,3.16,2.6,1.33,2.48,3.78,,,
April,,,,,0.64,1.68,1.45,2.69,2.5,,4.89,1.21,4,3.08,3.28,3.18,1.91,2.09,1.66,1.09,2.97,3.65,2.37,1.89,2.57,4.74,2.42,3.14,,,
May,,,,,1.85,2.08,2.23,1.9,1.86,,2.48,1.47,1.88,2.65,4.18,4.79,1.36,1.16,0.89,3.43,2.6,3.56,3.18,2.53,1.56,2.23,0.72,2.06,,,
June,,,,,2.22,1.23,1.8,4.29,1.35,,2.64,0.33,1.71,1,2.35,0,2.06,2.31,3.07,2.51,0.71,3.69,0.9,1.52,1.61,2.6,1.88,1.17,,,
July,,,,,4.77,3.93,1.57,2.68,4.94,,4.78,1.76,2.53,3.73,4.39,3.86,2.51,4.38,2.5,2.34,2.95,6.2,3.59,2.16,0.44,1.14,6.66,3.44,,,
August,,,,,4.52,2.33,4.08,6.39,4.98,,1.85,2.33,3.82,3.53,5.73,4.97,2.85,5.29,3.47,2.67,4.31,4.27,1.16,1.45,4.39,3.69,0.72,1.53,,,
September,,,,,2.65,2.02,2.54,2.69,9.25,,4.04,2.09,4.44,4.13,6.25,4.26,2.83,7.42,1.42,0.63,5.02,2.03,5.25,1.3,3.84,5.47,4.15,4.83,,,
October,,,,,3.11,3.72,6.05,7.51,2.68,,4.64,1.53,1.67,7.74,4.92,4.79,3.27,2.39,7.67,6.99,6.42,1.08,9.45,5.25,4.49,7.13,2.32,3.08,,,
November,,,,,4.57,3.16,3.92,3.45,3.85,,2.15,3.02,2.2,4.37,3.5,4.01,7.51,3.94,4.43,9.8,4.29,6.37,3.06,1.41,3.17,5.91,4.46,2.37,,,
December,,,,,5.97,8.17,3.53,1.22,6.8,,3.04,3.63,6.56,5.25,5.69,4.15,0.97,3.05,6.24,7.38,6.88,2.49,2.68,1.87,8.66,4.3,4.25,4.4,,,
Total,,,,,41.66,39.64,39.34,38.94,47.61,,,25.69,40.6,49.99,48.04,45.02,33.31,45.91,45.3,40.82,47.1,43.19,38.58,28.87,37.63,43.75,36.8,42.14,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914 Aug 28 Inspection Gauge on wooden platform Trees all sides except W but not too close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Jan Corrected by surrounding stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 May Station terminated Observer moved Will set up at new house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
