HARROW-NORTHWICK-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ155875,Long,-0.33471056,Lat,51.574544,Elevation,300,ft.,,,,,,,,,,,,
Station no,RR6342,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,3.07,1.61,1.37,4.16,3.28,1.51,3.55,1.13,4.82,,
February,,,,,,,,,,2.28,1.83,1.42,1.24,1.64,1.41,1.24,2.48,1.83,,
March,,,,,,,,,,1.42,2.16,1.35,3.28,1.87,0.53,0.84,3.52,2.33,,
April,,,,,,,,,,1.84,0.38,2.68,1.5,0.56,1.52,1.3,2.26,2.48,,
May,,,,,,,,,,3.22,0.87,0.76,2.86,1.63,0.45,2.53,0.61,2.67,,
June,,,,,,,,,,1.03,0.75,2.99,2.95,2.43,2.87,3.58,1.58,0.97,,
July,,,,,,,,,,1.17,1.09,3.94,4.03,2.33,1,4.46,0.99,3.4,,
August,,,,,,,,,,1.4,1.84,0.85,2.17,2.38,1.21,1.62,2.32,3.02,,
September,,,,,,,,,,3.87,1.59,4.2,1.22,2.48,3.12,1.99,4.52,0.73,,
October,,,,,,,,,2.94,2.2,3.91,1.92,4.28,2.81,3.8,3.69,1.27,1.85,,
November,,,,,,,,,1.44,2.38,1.26,0.65,3.93,2.08,2.23,3.44,3.37,,,
December,,,,,,,,,5.92,3.23,2.81,1.45,4.62,0.48,1.69,1.82,6.11,,,
Total,,,,,,,,,,27.11,20.1,23.58,36.24,23.97,21.34,30.06,30.16,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Northwick Lodge, which is on Peterborough Road and the observer, Henry St John Joyner, is noted as living at Northwick House on Peterborough Road. ",,,,,,,,,,,,,,,,,,,,
Stated altitude of 200? Is 100 ft too low and the NGR is further from the station than stated on the record.,,,,,,,,,,,,,,,,,,,,
NGR could be up to 500m N. NGR used is 500m From HARROW-ON-THE-HILL,,,,,,,,,,,,,,,,,,,,
NGR used is 500m From HARROW-ON-THE-HILL,,,,,,,,,,,,,,,,,,,,
