"MILNROW, PIETHORNE, ROODEN RESERVOIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD969119,Long,-2.04832,Lat,53.603653,Elevation,1131,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,1.91,2.52,3.7,3.6,1.98,4.77,1.44,3.18,2.28,4.65,1.26,3.48,3.46,3.51,5.22,3.48,3.02,2.33,4.62,3.49,5.93,3.26,3.47,,,,,,,
February,,1.49,1.27,3.67,3.34,1.67,3.09,2.17,2.8,1.86,3.69,4.7,2.07,1.39,2.57,3.24,4.38,0.94,5.75,1.06,3.33,0.47,4.39,5.28,,,,,,,
March,,2.95,2.08,4.43,2,3.85,3.29,3.13,2.64,3.03,0.9,1.99,5.61,4.6,4.82,1.74,2.75,2.63,1.78,3.59,3.14,3.28,2.6,2.21,,,,,,,
April,,2.37,1.52,2.21,2.9,3.13,1.45,2.29,1.96,3.48,3.31,2.59,1.09,4.69,1.39,1.54,2.47,1.91,1.43,1.51,4.78,1.34,2.46,3.23,,,,,,,
May,,1.92,2.74,3.62,3.01,0.61,3.11,3.73,2.12,2.33,2.38,1.69,3.42,3.16,2.29,2.09,2.55,1.73,2.3,1.73,5.88,2.67,1.32,3.68,,,,,,,
June,,2.49,1.53,1.7,1,2.76,1.58,7.44,1.94,2.18,4.75,3.36,4.94,2.62,3.09,0.87,2.65,2.22,1.28,1.93,2.58,0.35,2.62,0.99,,,,,,,
July,,2.39,2.41,4.16,1.63,2.77,2.18,3.05,4.7,5.51,4.6,0.58,4.14,1.38,4.58,4.98,2.44,2.32,4.97,2.09,9.18,1.89,5.06,5.09,,,,,,,
August,,2.1,2.96,5.04,4.55,4.26,4.16,3.92,3.41,3.22,5.55,3.24,7.01,2.66,3.42,4.78,3.63,7.61,3.18,3.3,2.76,5.93,5.15,5.19,,,,,,,
September,,0.87,2.22,5.47,1.76,3.38,1.39,0.74,3.84,2.65,0.22,3.57,1.59,1.82,2.73,0.91,2.64,2.16,11.31,2.02,2.78,1.36,3.35,3.89,,,,,,,
October,,3.01,5.12,8.56,1.78,3.65,7.26,6.17,1.72,5.61,3.73,3.12,4.31,2.1,2.38,1.78,6.73,6.5,3.3,2.67,1.55,3.47,1.12,5.19,,,,,,,
November,,5.76,2,3.3,3.16,4.53,4.19,2.52,2.33,1.37,4.11,4.85,2.96,5,4.73,1.55,3.04,3.22,1.82,3.38,2,2.31,2.92,5.9,,,,,,,
December,,4.15,3.13,2.35,2.84,0.79,3.05,3.96,2.28,6.64,4.12,5.18,5.21,2.65,5.65,6.47,2.8,1.97,7.43,5.65,3.31,5.98,3.83,3.38,,,,,,,
Total,,31.41,29.5,48.21,31.57,33.38,39.52,40.56,32.92,40.16,42.01,36.13,45.83,35.53,41.16,35.17,39.56,36.23,46.88,33.55,44.78,34.98,38.08,47.5,,,,,,,
