AXMINSTER-UPLYME,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY308954,Long,-2.98224,Lat,50.75408,Elevation,650,ft,,,,,,,,,,,,,
Station no,1814/3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,5.63,3.46,3.48,3.03,2.7,0.77,8.02,4.93,3.64,,
February,,,,,,,,,,,1.35,2.88,0.05,5.11,0.24,3.45,2.77,6.72,,,
March,,,,,,,,,,,2.18,1.63,2.3,4.08,2.26,1.09,6.11,4.74,,,
April,,,,,,,,,,,3.52,2.96,3.02,2.27,3.12,4.65,2.63,3.06,,,
May,,,,,,,,,,,2.15,3.39,4.36,2.08,0.8,1.45,0.93,2.89,2.98,,
June,,,,,,,,,,,0.42,4.06,3.36,2.01,1.67,5.22,2.05,1.28,,,
July,,,,,,,,,,,2.33,4.08,3.45,2.77,0.18,0.3,7.56,2.45,4.95,,
August,,,,,,,,,,,4.43,4.08,1.35,0.64,4.84,1.75,0.2,1.41,3.18,,
September,,,,,,,,,,,6.53,2.08,5.65,2.24,3.97,4.77,2.41,3.12,,,
October,,,,,,,,,,,3.15,0.44,6.85,2.64,3.2,4.81,1.61,5.19,,,
November,,,,,,,,,,,6.62,7.13,2.92,1.38,1.79,6.2,3.25,2.64,,,
December,,,,,,,,,,,5.58,1.75,3.12,1.37,13.24,6.77,3.89,4.92,4.82,,
Total,,,,,,,,,,,43.89,37.94,39.91,29.62,38.01,41.23,41.43,43.35,,,
,,,,,,,,,,,,,,,,,,,,,
1930 sheet says name changed to Uplyme St Marys Assume gauge there from 1930,,,,,,,,,,,,,,,,,,,,,
1930 Feb-Apr June Sept-Nov Marked as estimated,,,,,,,,,,,,,,,,,,,,,
1938 Station terminated,,,,,,,,,,,,,,,,,,,,,
