LEE-ON-SOLENT-EDINBURGH-HOUSE-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU563006,Long,-1.202,Lat,50.80245,Elevation,15,ft,,,,,,,,,,,,,
Station no,678,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,3.88,3.52,4.98,1.43,2.47,4.29,3.75,2.32,4.98,1.24,4.48,2.05,2.57,2.04,1.87,0.82,4.68,6.28,3.54,4.68,
February,0.52,0.19,2.8,4.65,0.26,5.33,1.52,3.71,1.79,1.01,2.01,1.59,0.08,3.39,0,3.84,2.34,5.1,0.41,1.14,
March,2.09,1.03,2.32,1.08,1.48,0.29,0.42,2.74,2.41,0.1,1.44,1.1,1.15,2.32,2.38,0.82,1.73,3.69,0.44,1.29,
April,2.77,1.1,3.5,2.72,2.58,2.41,2.73,1.73,2.03,0.93,2.66,3.02,2.34,1.06,2.08,2.66,1.65,1.94,0.02,2.42,
May,1.43,1.12,0.51,2.62,2.79,3.67,1.85,0.52,1.2,1.79,1.64,3.03,4.37,2.24,1.08,1.02,0.12,2.5,1.69,0.98,
June,2.18,0.02,1.62,0.41,2.53,0,2.36,2.09,2.1,1.23,0.31,1.58,1.12,1.01,0.91,2.5,3.02,1.33,0.59,1.87,
July,4.98,0.26,3.42,0.79,2.42,3.36,1.75,2.91,1.63,0.92,1.79,3.27,2.5,1.41,0.94,2.67,4.44,1.44,1.87,3.07,
August,1.11,2.23,2.21,2.32,2.01,4.94,1.49,2.66,2.15,1.58,3.59,2.91,1.31,0.59,2.96,3.47,0.17,1.16,1.82,1.43,
September,1.88,0.68,1.53,2.19,5.44,2.52,0.43,5.98,1.28,0.37,2.79,1.5,2.96,3.55,2.01,4.55,2.48,1.83,1.43,0.9,
October,3.49,0.99,1.02,6.1,4.54,3.49,2.72,1.52,6.54,4.11,2.73,0.51,6.37,1.67,1.69,4.81,0.73,3.54,3.7,8.92,
November,1.81,1.99,1.76,1.25,2.81,3.67,7.2,2.82,3.01,7.1,5.23,4.27,1.53,0.58,3.25,7.28,4.69,2.09,5.04,6.3,
December,2.76,1.59,4.68,3.39,4.55,3.85,0.47,4.81,3.32,6.22,3.19,0.52,1.01,0.64,7.99,3.34,2.8,5.82,3.2,2.05,
Total,28.9,14.72,30.35,28.95,33.88,37.82,26.69,33.81,32.44,26.6,31.86,25.35,27.31,20.5,27.16,37.78,28.85,36.72,23.75,35.05,
,,,,,,,,,,,,,,,,,,,,,
BR has no record for this location in 1919,,,,,,,,,,,,,,,,,,,,,
Terminated for duration School moved after war,,,,,,,,,,,,,,,,,,,,,
