WOOLHOPE WESSINGTON COURT,,,,,,,,,,
Grid ref,SO607356,Long,-2.574083,Lat,52.017422,Elevation,410,ft,,
Station no,RR7784,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,3.5,1.57,0.67,2.92,2.89,1.04,,,,
February,5.19,0.9,1.15,1.54,4.09,0.74,,,,
March,1.15,1.97,1.42,3.28,1.89,3.37,,,,
April,0.89,2.47,1.89,1.92,1.09,2.88,,,,
May,2.22,0.94,1.91,3.9,1.99,0.39,,,,
June,1.67,2.39,3.31,2.52,0.81,3.61,,,,
July,2.47,2.2,0.99,2.73,2.36,0.9,,,,
August,3.03,2.09,3.38,3.73,1.66,,,,,
September,0.48,2.01,1.7,3.19,2.26,,,,,
October,2.72,1.23,2.87,5.59,0.61,,,,,
November,2.33,0.81,2.62,1.46,1.45,,,,,
December,5.06,3.64,1.34,2.25,1.89,,,,,
Total,30.71,22.22,23.25,35.03,22.99,,,,,
