GUERNSEY-FORT-ROAD-LA-COTTE,,,,,,,,,,,
Grid ref,WV332768,Long,-2.54123,Lat,49.44358,Elevation,285,ft,,,
Station no,RR8511,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,4.34,2.18,4.2,5.8,5.37,4.92,6.02,2.5,5.34
February,,,2.02,5.9,1.07,3.37,2.6,2.07,3.67,1.79,1.49
March,,,3.32,2.25,2.85,0.66,1.11,3.69,3.4,0.08,2.23
April,,,3.39,2.45,3.15,2.79,4.62,2.18,3,2.48,3.5
May,,,0.8,4.24,2.74,4.79,2.57,0.78,3.22,2.43,1.87
June,,,1.53,0.46,1.06,0,3.62,2.99,3.02,2.45,1.09
July,,,2.6,1.29,2.62,2.61,1.14,2.59,0.62,1.85,2.15
August,,,2.17,1.7,2.41,3.13,1.45,3.11,1.74,1.47,3.6
September,,,2.71,2.78,4.7,2.52,0.43,6.75,1.34,1.82,3.06
October,,,2.17,6.98,4.66,3.33,3.3,1.43,7.82,5.65,
November,,,2.29,4.37,1.59,4.23,8.04,4.12,4.39,8.34,
December,,,4.79,3.33,3.46,6.53,1.53,3.02,4.22,6.73,
Total,,,32.13,37.93,34.51,39.76,35.78,37.65,42.46,37.59,
,,,,,,,,,,,
1930 Oct Station terminated Observer moved,,,,,,,,,,,
