CASTLEFORD-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE435256,Long,-1.3422108,Lat,53.724997,Elevation,100,ft.,,,,,,,,,,,,,
Station no,RR8060,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,4.13,3.19,0.99,,,1.99,1.68,3.33,2.74,2.16,3.11,,,,,,,,
February,,,1.48,0.76,1.15,,,0.5,1.34,2.23,1.49,0.13,2.51,,,,,,,,
March,,,2.55,2,2.17,,,1.84,1.84,3.54,1.73,0.82,1.39,,,,,,,,
April,,,0.19,4.09,0.6,,0.92,1.32,2.02,1.28,3.13,1.23,2.55,,,,,,,,
May,,,4.06,1.81,1.32,,2.29,2.35,3.93,1.14,2.22,1.16,0.83,,,,,,,,
June,,,3.91,0.43,1.67,,1.28,1.66,2.74,0.18,1.47,0.11,1.14,,,,,,,,
July,,,3.85,1.06,2.78,,1.58,0.94,4.86,,6.31,0.53,3.89,,,,,,,,
August,,,5.55,0.7,,,1.75,3.28,1.99,,1.25,4.28,5.1,,,,,,,,
September,,,1.36,1.42,0.95,,2.28,0.71,8.13,,1.2,0.68,2.14,,,,,,,,
October,,,2.47,3.16,1.91,,3.24,3.35,2.15,,1.88,1.66,0.58,,,,,,,,
November,,2.7,1.79,1.46,2.02,,3.32,0.53,2.31,,0.99,2.08,1.06,,,,,,,,
December,,3.74,1.51,1.19,4.85,,3.59,1.23,4.48,,2.28,2.83,3.06,,,,,,,,
Total,,,32.85,21.27,,,,19.7,37.47,,26.69,17.67,27.36,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is Castleford School. Altitudes match. ,,,,,,,,,,,,,,,,,,,,,
2nd 1910s record has Park Avenue for 1916 and the school for 1917 with the school for the 1920s record.,,,,,,,,,,,,,,,,,,,,,
"Park Avenue is 400m SSE and there are other schools between the NGRs, but NGR used best fits relationships to church and station",,,,,,,,,,,,,,,,,,,,,
