"ROTHERHAM (ALDWARKE SEW WKS)",,,,,,,,,,,,
Grid ref,SK444943,Long,-1.333014,Lat,53.443607,,,,,,,
Station no,3133,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.22,0.40,1.45,1.79,3.34,0.89,2.03,2.21,4.18,,
February,,0.30,1.61,1.95,2.24,1.03,1.58,3.54,0.01,2.10,,
March,,1.44,0.77,1.46,2.39,0.58,0.91,1.39,0.89,1.51,,
April,,1.27,1.78,0.23,0.46,2.63,0.16,0.41,2.83,0.50,,
May,,1.56,1.89,3.70,2.59,0.35,0.98,2.53,0.84,1.23,,
June,,1.32,1.37,1.46,2.50,2.82,1.51,4.95,1.30,1.10,,
July,,2.20,2.85,1.67,0.61,3.48,2.63,5.19,0.57,2.51,,
August,,0.95,1.84,5.70,0.40,4.63,4.99,1.58,0.66,3.28,,
September,,1.25,0.99,1.29,1.70,2.83,3.32,1.97,0.00,3.86,,
October,,3.60,1.75,2.68,1.58,1.01,0.87,1.67,1.68,5.11,,
November,,1.24,1.25,4.62,1.93,0.62,2.33,0.67,3.55,3.26,,
December,,1.58,1.06,2.56,1.94,2.50,2.01,2.92,2.82,1.97,,
Total,,18.93,17.56,28.77,20.13,25.82,22.18,28.85,17.36,30.61,,
Calc annual,0.00,18.93,17.56,28.77,20.13,25.82,22.18,28.85,17.36,30.61,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
