"ESHANESS",,,,,,,,,,,,
Grid ref,HU206785,Long,-1.626960,Lat,60.489662,,,,,,,
Station no,5832,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.61,1.95,2.64,1.41,1.53,,,,,,,
February,2.03,1.53,1.84,1.75,0.58,,,,,,,
March,1.45,2.57,0.94,2.50,1.58,,,,,,,
April,2.63,1.43,1.47,1.60,0.57,,,,,,,
May,0.10,1.74,1.54,0.68,1.61,,,,,,,
June,0.90,3.12,0.45,0.85,0.45,,,,,,,
July,1.92,0.76,1.58,1.25,0.60,,,,,,,
August,2.46,1.48,1.93,1.29,0.59,,,,,,,
September,2.32,2.02,2.61,2.93,2.27,,,,,,,
October,1.16,2.00,1.96,4.02,3.44,,,,,,,
November,2.65,2.23,3.22,5.24,2.13,,,,,,,
December,3.18,1.92,1.84,3.58,2.89,,,,,,,
Total,22.41,22.75,22.02,27.10,18.24,,,,,,,
Calc annual,22.41,22.75,22.02,27.10,18.24,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
