HASLEMERE-UDC-DEPOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU902330,Long,-0.71276,Lat,51.08924,Elevation,475,ft,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,4.21,6.67,4.72,4.09,5.55,2.22,3.03,4.39,6.05,2.89,5.59,1.76,6.6,3.08,4.86,3.01,3.29,0.94,7.24,8.58,4.47,6.76,3.13,3.56,,,,,,,,,
February,,2.15,3.4,0.95,0.2,3.65,6.17,0.87,5.83,2.7,5.6,2.95,0.9,1.54,2.92,0.49,5.41,0.08,5.16,3.2,6.21,0.58,1.95,3.15,3.9,,,,,,,,,
March,,1.43,5.75,,1.62,3.25,2.38,1.63,0.74,0.4,4.82,3.48,0.2,1.41,0.61,2.17,4.87,3.52,0.67,2.32,5.16,0.39,1.35,3.84,3.65,,,,,,,,,
April,,3.58,3.42,,1.06,4.4,3.26,4.05,3.06,3.41,2.21,2.26,0.7,3.27,3.92,3.85,0.94,2.61,4.29,2.44,4.15,0.13,2.4,1.91,1.82,,,,,,,,,
May,,1.43,0.42,,2.11,0.98,2.71,5.5,4.91,3,0.94,2.47,3.47,2.9,3.25,4.81,2.49,0.93,1.57,0.79,2.86,1.99,2,0.96,3.35,,,,,,,,,
June,,1.07,0.92,,0.16,1.76,0.42,3.2,0.02,2.69,3.27,2.95,2.04,0.51,2.32,2.16,2.04,1.32,4.14,4.59,1.68,0.9,1.94,0.65,2.12,,,,,,,,,
July,,4.21,1.83,,0.28,5.15,1.37,4.99,3.65,1.84,4.7,1.84,2.14,3.18,4.17,3.71,2.23,1.53,0.95,4.53,1.1,2.76,4.33,2.87,3.04,,,,,,,,,
August,,1.49,3.89,,2.33,3.43,2.74,2.87,5.1,1.91,4.83,2.59,2.12,5.75,5.09,1.07,1.36,3.91,3.12,0.8,0.81,1.55,2.04,0.26,5.93,,,,,,,,,
September,,5.96,1.66,,0.97,1.76,2.21,5.87,3.39,1,7.49,1.63,0.25,3.65,2.65,3.26,4.3,3.01,5.43,3.51,2.11,2.43,0.88,1.73,,,,,,,,,,
October,,1.8,0.36,,0.73,1.05,7.22,4.71,4.42,2.46,3.26,8.03,5.06,1.69,0.6,7.04,2.25,2.31,5.53,1.79,4.28,4.47,6.72,5.22,,,,,,,,,,
November,1.21,3.34,2.83,,2.41,2.33,2.12,3.45,3.42,7.7,4.95,3.94,9.89,6.77,4.57,1.91,1.1,4.03,8.19,4.93,3.24,5.95,6.45,9.54,,,,,,,,,,
December,1.99,3.29,6.34,,2.34,5.46,3.75,5.64,4.34,0.27,6.38,3.84,9.59,4.19,0.84,1.22,0.81,10.87,5.24,5.11,5.2,4.16,2.21,1.92,,,,,,,,,,
Total,,33.96,37.49,,18.3,38.77,36.57,45.81,43.27,33.43,51.34,41.57,38.12,41.46,34.02,36.55,30.81,37.41,45.23,41.25,45.38,29.78,39.03,35.18,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917 Oct 26th Gauge moved 1400ft WNW from Altyre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depot not located but NGR matches distance to church station and elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Gauge read 9am winter and summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
