HASLEMERE-UDC-DEPOT-(ALTYRE),,,,,,,,
Grid ref,SU904327,Long,-0.70993,Lat,51.08649,Elevation,552,ft
Station no,166,,,,,,,
,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917
January,,,,,,,2.32,1.62
February,,,,,,,5.9,1.24
March,,,,,,,4.64,1.89
April,,,,,,1.53,1.07,2.62
May,,,,,,3.89,2.16,1.53
June,,,,,,1.75,2.29,1.83
July,,,,,,4.79,1.13,4.01
August,,,,,,2.01,3.56,6.93
September,,,,,,2.46,2.92,2.5
October,,,,,,4.24,6.75,
November,,,,,,3.49,6.21,
December,,,,,,8.59,4.29,
Total,,,,,,,43.24,
,,,,,,,,
"Arthur Witcher lived in Altyre, 8 College Hill Terrace in 1939",,,,,,,,
,,,,,,,,
1915 Gauge moved 1/2m S from the Laurels,,,,,,,,
1917 Oct 26th Gauge moved 1400ft WNW to District Council Depot,,,,,,,,
