WINSFORD-MEADOW-BANK,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ652680,Long,-2.5224991,Lat,53.207919,Elevation,90,ft.,,,,,,,,,,,,
Station no,RR7836,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,1.61,2.01,3.54,,,,,2.11,2.44,2.9,1.39,3.22,2.72,,0.44
February,,,,,,0.36,2.34,2.99,,,,,1.87,1.74,1.84,2.27,0.73,1,,2.13
March,,,,,,0.3,2.57,1.99,,,,,1.86,1.43,2.14,1.27,1.5,1.6,,2.36
April,,,,,,0.14,3.68,1.95,,,,,2.87,1.49,1.47,2.94,1.62,1.04,,2.71
May,,,,,,1.21,0.6,2.52,,,,,1.88,1.32,1.62,2.09,6.09,1.27,,2.34
June,,,,,0.5,1.36,3.08,1.92,,,,,4.32,2.97,0.95,2.81,2.06,1.6,,0.48
July,,,,,1.7,3.81,1.47,4.03,,,,,3.47,2.78,6.35,1.27,2.06,1.34,,3.98
August,,,,,2.54,2.17,3.41,,,,,,3.39,1.94,1.59,2.27,0.78,1.13,,6.3
September,,,,,1.45,5.16,3.06,,,,,,2.32,5.07,2.53,2.98,2.75,3.6,,3.71
October,,,,,2.16,4.46,2.53,2.03,,,,,4.22,5.58,1.76,5.8,4.05,1.87,,1.93
November,,,,,,3.36,1.92,2.9,,,,,5.75,2.95,2.1,2.8,0.78,1.04,,3
December,,,,,1.29,0.44,2.68,2.45,,,,,5.09,2.31,2.66,1.04,2.04,2.15,,3
Total,,,,,,24.38,29.35,,,,,,39.15,32.02,27.91,28.93,27.68,20.36,,32.38
,,,,,,,,,,,,,,,,,,,,
"NGR is Meadow Bank House, where the observer, H E Falk, lived. Altitudes match.",,,,,,,,,,,,,,,,,,,,
"Gauge might be in Falks Salt Works, 100 to 200m E",,,,,,,,,,,,,,,,,,,,
