"HANDSWORTH (WOOD LANE)",,,,,,,,,,,,
Grid ref,SP061908,Long,-1.911542,Lat,52.515053,,,,,,,
Station no,2483/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.45,2.34,3.15,5.70,,
February,,,,,,,3.02,4.88,0.19,2.45,,
March,,,,,,,2.60,1.54,1.51,1.62,,
April,,,,,,,0.25,0.78,3.44,1.28,,
May,,,,,,,1.32,2.12,0.95,1.13,,
June,,,,,,1.40,1.34,3.91,0.88,2.51,,
July,,,,,,2.68,3.99,4.22,1.94,2.92,,
August,,,,,,5.17,4.04,2.26,3.55,3.58,,
September,,,,,,2.91,4.65,3.59,0.23,5.62,,
October,,,,,,1.58,1.36,2.56,2.70,5.15,,
November,,,,,,0.90,1.96,1.84,4.12,3.31,,
December,,,,,,3.84,2.15,3.15,4.29,3.31,,
Total,,,,,,18.48,28.13,33.24,26.95,38.58,,
Calc annual,0.00,0.00,0.00,0.00,0.00,18.48,28.13,33.19,26.95,38.58,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.05,0.00,-0.00,,
