NOOKTON LEVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 348 003,Long,-3.052547,Lat,56.190775,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,1.49,2.24,4.14,1.29,4.62,3.92,1.91,1.33,2.8,4.11,3.68,3.61,2.21,1.31,4.15,3.69,2.39,4.99,,,,
February,,,,,,,,0.79,0.99,1.85,1.1,1.81,1.2,1.01,3.25,1.83,4.1,1.62,2.28,2.46,2,3.89,4.06,1.13,1.05,1.86,,,,
March,,,,,,,,2.43,1.16,2.54,2.3,2.12,3.28,0.79,2.95,0.99,2.02,1.18,1.9,0.94,0.77,1.06,2.61,1.7,2.1,1.58,,,,
April,,,,,,,,2.51,1.43,2.33,0.93,0.88,1.95,1.94,1.15,0.62,1.45,2.83,2.89,1.64,0.5,5.17,1.75,0.29,1.46,0.76,,,,
May,,,,,,,,2.04,2.25,0.18,0.74,1.49,3.79,1.79,1.23,2.99,1.5,4.47,1.98,1.56,1.72,0.9,2.92,2.77,1.74,1.19,,,,
June,,,,,,,,2.77,1.19,2.18,4.59,1.55,2.81,1.77,2.35,0.38,1.35,1.96,0.5,2.53,1.91,2.32,3.63,1.39,0.63,2.41,,,,
July,,,,,,,,1.1,5.42,2.24,1.17,2.41,3.76,0.49,1.74,4.04,2.87,6.49,0.25,1.31,0.97,3.9,3.37,3.62,1.99,2.91,,,,
August,,,,,,,,1.48,2.22,1.21,2.64,5.46,2.48,3.6,1.35,2.38,3.42,2.04,3.92,0.86,0.95,2.32,5.98,3.43,3.97,1.51,,,,
September,,,,,,,,2.2,2.73,1.36,0.87,4.73,1.95,3.61,3.09,0.64,2.73,2.2,3.04,5.09,2.47,1.44,3.92,3.42,2.48,3.05,,,,
October,,,,,,,,1.44,3.05,3.39,3.08,2.05,4.21,2.62,5.44,5.12,1.89,1.99,1.89,2.26,3.24,3.24,3.58,3.73,3.32,4.03,,,,
November,,,,,,,,2.21,1.94,2.83,4.23,5.03,1.15,2.34,2.27,3.23,2.12,0.43,1.25,1.14,1.55,3.43,4.44,1.97,2.38,4.51,,,,
December,,,,,,,,1.44,3.85,1.99,4.86,1.6,3.08,1.91,3.02,2.22,2.94,1.44,4.71,1.58,3.4,1.98,3.04,1.56,2.02,2.57,,,,
Total,,,,,,,,,27.72,24.34,30.65,30.42,34.28,25.79,29.75,25.77,29.19,30.76,28.29,24.98,21.69,30.96,43.45,28.7,25.53,31.37,,,,
