HENLEY-IN-ARDEN,,,,,,,,,,
Grid ref,SP154671,Long,-1.775582,Lat,52.301809,Elevation,255,ft,,
Station no,2455/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.11
February,,,,,,,,,,2.23
March,,,,,,,,,,1.04
April,,,,,,,,,,1.02
May,,,,,,,,,,1.31
June,,,,,,,,,,2.39
July,,,,,,,,,,3.85
August,,,,,,,,,,3.5
September,,,,,,,,,,4.58
October,,,,,,,,,,5.01
November,,,,,,,,,,3.87
December,,,,,,,,,,3.41
Total,,,,,,,,,,37.32
,,,,,,,,,,
10252,HENLEY-IN-ARDEN P STA ,01/01/1960,30/11/1981,,,,,,,
