HUNTINGDON-BRAMPTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL208702,Long,-0.2292372,Lat,52.316623,Elevation,39,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.8,2.37,1.72,1.05,1.98,2,2.96,1.33,2.06,0.93,2.51,2.99,0.91,0.69,2.07,1.81,1.11,3.38,1.03,1.09,0.84,1.5,1.42,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.6,1.1,0.11,1.82,2.47,1.8,0.13,0.59,3.12,0.67,1.21,4.12,0.94,1.08,0.75,2.91,0.72,1.71,1,1.24,0.32,2.15,0.99,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.45,2.48,1.3,0.8,0.1,0.93,2.07,2.75,2.73,1.64,0.82,0.6,2.45,1.51,2.48,1.46,2.08,1.84,1.01,2.55,3.49,0.86,1.58,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.28,0.99,1.26,1.15,0.11,0.8,1.39,0.8,1.84,1.71,1.93,0.82,2.56,0.97,1.35,0.71,1.55,0.56,3.05,2.4,1.52,1.85,0.93,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,4.86,4.02,3.53,1.34,0.98,1.68,0.61,0.8,1.97,3.14,1.72,1.26,0.97,3.01,2.52,1.65,1.26,1.84,4.32,1.41,1.03,2.9,0.92,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.9,2.31,2.47,2.68,0.99,2.57,0.53,1.87,2.42,1.17,1.17,2.16,1.41,2.5,3.6,0.61,3.18,3.49,1.44,0.91,4.26,1.28,2.33,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.62,2.62,3.5,2.56,2.86,3.16,3.35,1.02,0.2,1.15,1.64,1.2,1.93,1.3,3.39,1.53,0.68,0.63,1.93,2.56,3.4,2.22,0.27,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.43,1.31,3.39,2.93,2.29,2.75,2.74,1.87,3.46,2.36,2.06,2.39,1.48,1.93,3.05,1.31,3.15,1.02,2.07,3,1.71,1.71,1.71,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,3.18,0.7,0.48,3.35,0.62,1.62,0.76,4.02,2.99,0.24,2.36,0.34,1.01,1.28,1.68,2.07,1.55,1.02,0.71,2.83,2.6,0.99,1.68,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,3.97,1.45,5.63,4.55,4.2,2.39,2.24,4.37,1.68,3.37,3.09,1.96,1.78,1.81,5.35,1.14,1.18,3.41,3.43,1.42,3.46,1.48,2.2,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
