EAST-ANSTEY-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS868263,Long,-3.61544,Lat,51.02522,Elevation,750,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.87,6.46,5.24,5.31,2.72,4.14,1.49,5.69,7.76,7.03,9.38,3.91,5.18,6.03,8.65,4.6,4.23,4.25,4.12,10.22,2.11,1.86
February,,,,,,,,,,1.61,1.61,4.25,0.08,4.67,0.51,5.32,2.93,7.81,2.07,2.63,4.26,4.91,0.63,3.2,1.73,5.09,4.81,1.25,2.33,2.5,8.57
March,,,,,,,,,,0.39,2.83,1.45,3.53,3.67,3.38,1.81,3.91,5.11,0.67,2.21,3.37,5.56,3.21,1.72,0.38,1.56,1.81,6.1,2.16,2.55,2.17
April,,,,,,,,,,0.92,4.13,4.61,3.93,1.61,3.42,6.18,2.6,4.05,0.29,4.04,3.2,1.39,1.62,1.08,2.38,1.11,3.26,3.51,3.27,2.61,3.32
May,,,,,,,,,,3.74,2.96,4.25,3.55,3.31,1.81,2.57,0.67,2.41,3.74,1.09,1.93,2.47,6.1,3.63,1.34,4.72,4.87,3.54,4,4.39,1.88
June,,,,,,,,,,4.51,0.99,3.81,1.46,1.9,,3.37,2.83,1.33,2.66,2.97,1.05,1.38,0.9,2.44,4.23,5.29,4.13,3.53,2.6,1.43,2.2
July,,,,,,,,,,,3.47,5.55,5.82,2.6,,0.95,7.77,2.81,3.88,8.07,5.12,2.21,2.68,3.71,3.29,3.13,3.16,2.89,2.51,2.79,6.39
August,,,,,,,,,,4.46,,5.29,1.67,1.78,4.59,2.36,1.1,1.63,5.07,3.26,0.62,7.42,5.58,5.29,5.25,2.59,5.79,0.97,5.15,4.16,8.94
September,,,,,,,,,,1.04,6.47,3.59,7.34,1.67,3.3,5.36,5.16,3.6,1.4,0.85,2.94,0.92,3.85,4.64,3.71,3.11,6.18,2.55,2.86,2.58,7.72
October,,,,,,,,,,8.07,7.12,1.54,9.81,5.49,4.26,6.33,3.2,3.96,6.82,4.08,5.21,3.64,4.09,4.29,8.25,5.01,2.19,1.23,5.65,9.35,
November,,,,,,,,,,10.75,5.92,8.08,3.52,1.44,2.29,8.03,5.11,2.68,7.53,10.6,9.11,3.5,1.32,4.7,9.4,1.37,8.73,4.5,2.79,6.24,
December,,,,,,,,,,9.35,5.68,2.82,2.69,1.25,11.07,6.03,4.43,3.67,6.35,3.29,4.47,3.33,6.07,3.76,5.94,6.93,5.8,4.51,6.33,4.11,
Total,,,,,,,,,,,,50.48,48.71,32.11,,49.8,45.4,46.82,47.51,52.47,45.19,41.91,42.08,47.11,50.5,44.14,54.98,38.7,49.87,44.82,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 July Marked as estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Nov 16 Gauge moved 8yds NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Sept Marked as estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 June-July Marked as estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
