TENTERDEN SUMMERHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ895311,Long,0.702143,Lat,51.047986,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,2.16,0.15,0.97,0.95,1.74,2.16,2.35,4.21,1.7,0.61,0.87,3.09,4.01,0.98,3.81,2.88,3.47,1.07,3.28,0.98,2.71,3.69,,1,2.45,3.42,1.31,,0.99,2.34,0.95,3.5,1.75,2.82,4.33,0.75,3.27,0.96,1.51,3.4,4.43,2.82,2.22,3.79,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,3.72,2.23,1.48,1.26,3.17,1.77,2.76,0.44,0.58,2.44,2.68,1.46,0.09,2.73,5.51,2.02,0.37,0.5,2.92,1.32,3.27,5.94,,1.45,1.46,3.27,0.78,,1.36,1.1,0.61,3.18,1.15,2.22,0.9,3.07,3.81,4.77,0.94,1,2.43,0.5,0.56,2.16,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.66,0.58,2.03,1.28,1.15,1.36,1.32,0.99,1.64,3.94,1.46,3.74,2.76,2.19,0.67,1.44,2.2,2.91,3.67,2.59,0.91,1.15,,1.27,2.2,1.74,3.32,,0.94,2.27,3.85,1.48,2.31,3.56,2.67,4.73,0.8,3.71,1.73,0.75,3.59,0.97,1.42,2.52,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.72,1.77,0.84,2.53,1.59,1.37,2.1,1.32,1.63,1.22,1.98,3.79,0.8,1.91,0.03,2.19,1.27,0.65,1.63,1.36,3.72,1.02,,0.74,2.18,1.25,2.37,,3.19,2.13,1.8,1.71,1.94,0.11,3,1.15,1.29,1.37,1.96,1.07,3.45,2.51,1.42,3.07,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.41,0.17,0.84,1.61,2.24,0.46,3.03,2.95,1.41,1.18,1.39,1.97,4.18,0.38,1.08,2.29,0.11,0.24,1.06,4.6,1.66,0.95,,1.82,2.69,2.12,1.39,,2.17,1.32,1.26,2.75,0.7,0.52,0.97,0.92,3.52,1.94,2.28,1.69,0.57,1.05,1.81,0.56,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,2.68,4.13,2.65,2.29,1.46,1.11,1.31,0.45,0.71,2.27,0.75,2.78,2.15,3.45,0.67,2.06,0.24,4.88,2.11,2.04,1.78,2.35,,1.91,3.52,2,5.07,,1.78,1.83,2.95,1.64,2.21,3.7,0.54,1.2,0.52,2.4,2.01,0.73,0.38,1.4,0.01,1.37,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.67,3.15,1.85,2.8,2.48,2.12,0.1,2.23,0.5,6.14,1.88,3.25,3.15,2.83,3.71,6.3,3.24,1.08,0.69,0.28,2.19,1.37,,1.13,3.21,2.44,0.95,,1.29,2.83,2.81,2.52,0.15,1.03,1.73,1.99,3.63,0.97,3.24,3.79,1.83,3.96,0.19,2.83,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,3.07,2.18,3.72,1.63,1.28,0.97,0.39,1.32,3.21,1.02,2.7,4.86,5.73,4.22,1.89,2.22,2.24,2.36,3,1.65,1.22,1.99,,3.96,4.03,1.55,2.24,,1.69,3.91,2.67,2.12,2.26,5.84,2.16,1.12,1.97,2.73,6.1,0.98,2.77,1.42,1.48,2.45,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.28,2.87,3.04,2.74,3.94,3.2,3.49,3.85,1.14,2.65,1.14,2.6,1.72,0.78,2.86,4.17,4.97,0.71,6.31,2.93,0.75,3.1,0.91,,1.94,2.13,1.31,2.24,,0.5,1.79,3.25,0.48,1.29,3.22,1.53,0.96,2.9,0.89,0.87,6.5,1.41,3.55,0.48,2.9,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,3.47,0.7,7.12,3.24,5.72,2.22,2.11,4.14,2.86,1.5,2.09,6.86,1.55,7.27,7.96,4.25,4.77,4.12,6.43,0.37,2.91,2.81,2.49,,2.15,4.98,1.99,1.81,,6.07,1.33,5.75,2.81,4.71,3.72,4.22,3.35,1.57,4.78,3.71,2.29,1.36,0.95,0.53,1.9,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,4.42,0.74,3.84,3.48,3.06,3.6,1.15,2.41,3.6,4.35,3.38,0.96,3.58,3.09,3.01,3.06,4.3,4.77,1.59,1.77,2.73,3.37,3.19,,2.42,2.6,2.11,3.72,,2.94,0.99,0.82,5.46,4.78,2.8,3.44,4.36,3.26,5.25,1.67,2.18,2.36,1.12,1.95,1.44,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,1.93,0.88,3.09,3.5,2.2,1.4,3.05,0.87,4.67,2.69,1.25,1.06,1.07,3.99,3.11,2.44,2.45,2.93,3.95,2.88,2.38,2.43,3.93,,2.52,1.92,3.73,0.71,,2.67,3.06,5.48,4.44,5.85,3.11,1.31,6.8,6.77,4.52,2.61,2.01,2.99,3.35,2.03,2.91,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,26.28,31.45,27.34,29.27,25.53,21.12,24.63,26.18,22.57,26.68,25.19,32.86,38,35.63,31.29,37.89,25.67,31.97,26.31,23.59,29.17,28.98,23.18,22.31,33.37,26.93,25.91,,25.59,24.9,32.2,32.09,29.1,32.65,26.8,30.4,33.31,34.29,28.63,26.39,27.57,23.6,14.1,27.9,32.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1890s figures are 'corrected values'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
