HORRABRIDGE-FURZETOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX543717,Long,-4.05695,Lat,50.52748,Elevation,550,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,10.19,3.22,10,5.59,8.13,4.51,7.25,2,8.33,10.65,10.29,9.41,3.6,4.36,7.9,10.97,,,,,,,
February,,,,,,,,,4.3,2.32,2.36,4.91,0.07,5.68,0.34,6.56,6.39,11.64,2.66,4.23,6.05,7.94,0.72,3.68,,,,,,,
March,,,,,,,,,7,0.88,3.91,1.65,3.85,5.49,4.64,1.62,5.18,7.54,0.99,2.82,4.96,5.42,5.17,1.56,,,,,,,
April,,,,,,,,,2.38,0.83,5.05,4.52,4.35,4.17,4.61,6.53,2.78,4.19,0.17,3.55,3.07,1.21,3.29,1.97,,,,,,,
May,,,,,,,,,1.73,4.94,3.05,3.84,6.15,2.27,2.5,2.56,0.83,3.53,5.01,1.31,2.1,3.85,8.18,5.35,,,,,,,
June,,,,,,,,,3.34,3.05,2.21,5.49,5.04,3.04,2.2,7.09,3.37,1.98,3.09,5.15,1.05,2.03,0.66,3.1,,,,,,,
July,,,,,,,,,2.5,2.52,3.94,6.88,4.57,4.93,0.75,1.47,12.4,3.48,5.66,11.66,3.73,2.08,3.26,3.56,,,,,,,
August,,,,,,,,,2.8,5.32,6.54,4.78,2.1,3.29,6.01,2.3,1.1,0.72,6.31,4.37,0.37,7.01,6.07,5.11,,,,,,,
September,,,,,,,,,1.47,1.37,6.97,3.34,7.48,1.74,5.94,6.74,4.92,4.44,3.16,0.65,2.59,0.78,4.95,5.88,,,,,,,
October,,,,,,,,,9.71,9.42,7.61,1.84,12.22,5.63,6.43,8.68,2.25,5.09,8.44,5.61,6.13,3.18,4.77,6.8,,,,,,,
November,,,,,,,,,7.05,17.97,9.51,10.73,4.35,1.68,2.33,10.23,6.03,3.49,10.82,12.24,12.36,4.01,1.41,4.26,,,,,,,
December,,,,,,,,,6.83,12.68,5.52,3.23,5.28,2.65,20.53,6.47,8.93,5.94,7.62,4.58,7.08,5.29,9.95,,,,,,,,
Total,,,,,,,,,59.3,64.52,66.67,56.8,63.59,45.08,63.53,62.25,62.51,62.69,64.22,65.58,53.09,47.16,56.33,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge from Newton Ferrers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Dec 25 Gauge moved 17yds WSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Total adjusted as all monthly totals seem correctly transcribed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
