LUXBOROUGH,,,,,,,,,,
Grid ref,SS973380,Long,-3.469136,Lat,51.132036,Elevation,750,ft,,
Station no,2091/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.18,5.56
February,,,,,,,,5.18,0.33,5.84
March,,,,,,,,1.89,4.58,3.6
April,,,,,,,,1.56,5.29,3.6
May,,,,,,,,4.94,1.47,1.96
June,,,,,,,,4.29,2.58,2.28
July,,,,,,,,2.71,3.24,6.04
August,,,,,,,,4.16,5.03,3.86
September,,,,,,,,6.73,0.27,5.76
October,,,,,,,,4.47,5.41,17.13
November,,,,,,,,3.02,7.81,7.23
December,,,,,,,,4.73,12.45,7.89
Total,,,,,,,,,54.64,70.75
,,,,,,,,,,
Nothing to locate this gauge Observer had 5 gauges on Exmoor,,,,,,,,,,
NGR taken from sheet,,,,,,,,,,
,,,,,,,,,,
SRC_ID 9040,,,,,,,,,,
1958-1974,,,,,,,,,,
