BRIDGE OF ORCHY,,,,,,,,,,,,,,,,,,,,
Grid ref,NN301397,Long,-4.763189,Lat,56.518558,Elevation,600,ft,,,,,,,,,,,,
Station no,RR2885,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,12.42,16.08,21.8,7.4,17.4,16.35,6.05,9.4,22.45,31.7,,,,,,
February,,,,,10.4,5.85,11.5,14.57,31.2,18.45,12.55,19.5,15.65,6.2,,,,,,
March,,,,,6.25,4.5,5.32,4.28,15,3.25,2.4,18.6,7.95,4.45,,,,,,
April,,,,,4.35,4.44,6,10.68,10.2,4.2,8.4,7.2,5.5,1.7,,,,,,
May,,,,,2.25,7.18,3.08,4,15.5,2.75,12.15,4.1,6.75,2,,,,,,
June,,,,,8,2.82,4.1,4.6,7.75,5.7,5.1,3.7,10.8,6,,,,,,
July,,,,,8.27,5,4.12,4.45,2.4,7.7,6.8,11,6.1,10,,,,,,
August,,,,,3.18,7.44,9.12,6.84,13.32,4.2,5.15,13.3,10,9.95,,,,,,
September,,,,,17.35,8.75,11.16,8.6,4.05,14.85,6.85,6.72,13.2,6.55,,,,,,
October,,,,,6.15,6.25,6.8,11.45,15.03,6.5,14.1,12.35,11,14.35,,,,,,
November,,,,,9.5,5.84,10.8,2.93,7.77,19.6,6.5,11.05,16.45,18.55,,,,,,
December,,,,,17.88,15.1,15.2,10.2,21.93,16.15,8.45,20.9,17.15,17.05,,,,,,
Total,,,,,106,89.25,109,90,161.55,119.7,94.5,137.82,143,128.5,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location,Low Confidence,,,,,,,,,,,,,,,,,,,
