"BRIDGE OF ORCHY",,,,,,,,,,,,
Grid ref,NN301397,Long,-4.763189,Lat,56.518558,,,,,,,
Station no,RR2885,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,7.23,18.96,8.97,3.60,6.91,,
February,,,,,,3.11,7.71,5.19,6.61,6.90,,
March,,,,,,5.12,9.39,3.15,9.49,2.69,,
April,,,,,,3.75,6.48,5.90,6.52,9.33,,
May,,,,,,6.72,2.55,8.11,3.15,5.06,,
June,,,,,,5.00,6.53,2.96,5.41,3.75,,
July,,,,,,6.88,6.92,5.04,8.93,4.99,,
August,,,,,,6.45,7.69,7.78,6.09,7.01,,
September,,,,,,8.16,4.87,6.66,2.51,5.04,,
October,,,,,,8.71,15.05,10.48,10.62,5.15,,
November,,,,,4.99,8.35,4.06,4.61,12.39,9.68,,
December,,,,,19.72,18.20,13.66,10.08,14.98,13.27,,
Total,,,,,,87.68,103.87,78.93,90.30,79.78,,
Calc annual,0.00,0.00,0.00,0.00,24.71,87.68,103.87,78.93,90.30,79.78,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
