LINCOLN - BOULTHAM PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK967694,Long,-0.553,Lat,53.213,Elevation,18,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2556/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958
January,1.65,1.50,2.91,1.51,1.19,0.18,0.53,2.47,2.55,2.11,1.65,3.00,1.97,0.52,1.81,2.77,1.23,0.97,2.04,2.18,3.20,1.10,1.93,0.90,2.02,3.66,0.91,0.80,1.81,2.01,,2.52,1.03,0.79,1.22,1.44,1.16,2.67,3.34,1.08,2.53,0.58,2.42,1.67,2.80,1.97,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,1.95,4.18,1.05,2.02
February,1.12,2.18,1.93,1.12,2.71,1.70,3.07,1.73,2.83,1.53,3.09,0.20,0.82,1.21,1.95,1.29,0.05,2.13,3.07,1.90,0.22,0.77,3.18,0.57,1.29,3.58,1.83,1.71,0.47,2.98,,1.90,1.40,1.77,0.44,1.97,0.74,0.89,0.61,0.88,2.59,3.23,0.80,1.30,2.48,1.63,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,2.60,0.95,1.98,3.18
March,0.48,2.89,1.92,0.61,0.60,1.68,1.40,1.39,0.90,1.75,1.43,2.66,1.78,2.80,3.74,1.93,1.04,1.07,0.32,0.53,2.28,2.16,2.67,1.77,0.89,0.72,2.29,1.60,3.82,1.80,1.65,1.45,1.28,2.17,2.77,0.35,1.32,2.26,3.33,1.75,0.86,3.74,1.60,0.67,2.88,4.09,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,2.41,0.84,1.71,1.80
April,0.47,2.63,2.47,1.42,1.91,1.69,1.01,4.04,1.78,0.92,1.91,1.73,1.24,1.94,2.87,0.45,1.71,1.68,0.21,2.28,1.67,0.73,1.38,2.38,2.64,1.28,1.26,2.03,1.47,0.88,1.58,0.72,1.48,2.48,1.39,1.56,0.99,0.11,,0.77,0.48,1.65,1.88,1.16,1.76,4.96,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.90,1.25,0.12,0.50
May,1.09,1.01,2.61,3.60,3.06,1.02,1.75,2.55,1.58,0.97,1.71,5.31,1.69,0.57,4.25,2.33,3.13,4.00,1.22,1.67,0.89,0.68,1.54,2.17,3.68,1.68,0.99,2.75,2.66,2.33,0.51,1.05,3.24,1.77,0.74,2.28,0.78,2.52,,1.73,1.97,2.38,1.53,1.76,0.81,1.95,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,1.87,0.57,2.27,1.78
June,2.59,2.34,1.00,2.37,3.77,2.72,1.31,3.49,6.47,0.45,2.45,0.83,0.35,1.49,0.82,2.16,3.43,4.29,1.27,3.14,1.38,4.45,2.76,1.16,1.33,2.88,1.76,2.30,0.96,0.41,2.77,1.60,2.24,1.20,2.81,1.45,2.96,3.68,,0.94,1.52,1.31,1.05,0.69,0.98,2.47,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,2.74,3.42,1.70,3.94
July,3.38,1.43,2.94,0.99,3.02,5.41,1.95,2.40,3.48,2.97,0.32,2.40,1.12,5.85,1.96,2.09,2.96,3.37,3.24,3.76,4.26,1.96,0.92,1.06,0.82,0.96,2.96,1.37,2.80,3.12,,0.53,1.42,2.34,3.57,2.40,0.16,3.34,,2.41,4.90,1.60,1.15,2.61,2.91,2.50,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,0.46,2.37,2.34,4.89
August,1.69,1.37,3.58,7.53,3.01,1.44,5.25,4.89,1.26,1.50,2.46,1.99,1.51,2.61,3.56,2.32,3.33,1.84,0.79,1.73,1.72,1.62,3.48,2.49,0.66,6.16,1.96,3.20,5.25,3.28,,2.33,1.89,2.03,3.64,3.06,1.27,4.38,1.03,1.12,1.81,4.23,5.43,1.39,2.61,0.99,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.70,0.29,5.07,2.01,1.71
September,1.42,3.27,2.22,2.61,3.19,3.67,1.97,2.23,4.66,1.07,3.78,1.43,2.45,1.70,2.30,1.28,1.22,2.24,0.72,0.54,0.52,4.49,3.15,0.67,2.18,0.77,0.98,0.87,3.88,1.91,,0.79,0.63,1.43,1.38,0.18,1.39,1.42,1.69,1.18,0.63,1.58,1.13,3.00,1.48,1.69,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,0.95,1.57,3.95,2.02
October,3.75,1.97,1.24,1.99,0.78,5.60,2.20,5.86,2.83,1.02,5.84,3.90,2.33,0.58,5.46,0.97,4.86,5.36,1.75,3.58,2.92,4.08,0.60,3.41,3.28,2.72,1.59,2.25,6.46,0.39,1.50,4.57,5.02,0.82,2.38,1.59,1.52,1.35,2.53,1.87,0.93,1.54,2.28,1.05,1.86,1.24,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,0.95,1.13,1.04,1.25
