"PIRBRIGHT (BAKERSGATE)",,,,,,,,,,,,
Grid ref,SU951444,Long,-0.640513,Lat,51.190921,,,,,,,
Station no,211/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.57,1.90,0.84,1.13,2.56,3.94,1.49,2.40,2.25,2.50,,
February,7.17,0.72,1.24,2.42,1.41,0.34,3.45,2.32,0.12,2.41,,
March,4.16,2.96,0.44,2.24,1.05,0.54,1.45,2.15,2.81,1.45,,
April,2.55,1.51,1.69,0.25,0.21,1.06,0.29,0.99,1.97,0.67,,
May,2.74,2.37,1.85,2.76,3.55,0.27,1.05,2.27,0.70,1.39,,
June,1.29,1.61,1.57,4.00,2.44,1.97,0.91,2.91,0.80,1.29,,
July,1.42,1.18,2.60,2.42,0.58,2.98,3.60,1.08,1.89,2.64,,
August,3.52,2.72,1.61,2.39,0.99,3.14,2.02,3.67,1.87,4.31,,
September,2.15,3.22,2.10,1.93,1.47,3.04,2.82,4.04,0.06,2.75,,
October,0.78,3.18,3.13,1.95,3.59,1.86,1.59,2.30,2.68,7.27,,
November,7.48,3.22,1.46,4.63,1.63,0.56,2.95,2.25,2.90,4.47,,
December,2.72,2.66,0.74,2.93,2.80,3.82,2.15,2.73,4.66,2.84,,
Total,39.55,27.25,19.27,29.05,22.28,23.52,23.77,29.11,22.71,33.99,,
Calc annual,39.55,27.25,19.27,29.05,22.28,23.52,23.77,29.11,22.71,33.99,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
