PIRBRIGHT-BAKERSGATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU951544,Long,-0.63691,Lat,51.28096,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,211/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.89,4.5,2.48,2.39,2.39,5.35,1.77,1.42,2.43,1.81,4.78,0.93,0.74,3.57,1.9,0.84,1.13,2.56,3.94,1.49,2.4,2.25,2.5
February,,,,,,,,0.55,1.4,2,2.63,0.62,1.46,0.6,1.56,2.3,1.53,0.94,1.14,4.3,7.17,0.72,1.24,2.42,1.41,0.34,3.45,2.32,0.12,2.41
March,,,,,,,,0.3,1.25,3.09,3.68,1.62,0.52,0.11,0.38,1.21,4.97,0.81,0.99,1.04,4.16,2.96,0.44,2.24,1.05,0.54,1.45,2.15,2.81,1.45
April,,,,,,,,0.19,2.29,1.74,1.44,1.64,1.19,1,1.34,2.11,1.49,1.65,2.73,,2.55,1.51,1.69,0.25,0.21,1.06,0.29,0.99,1.97,0.67
May,,,,,,,,1.27,1.72,1.21,2.19,3.1,2.68,0.64,1.46,3.12,1.38,2.06,2.41,1.56,2.74,2.37,1.85,2.76,3.55,0.27,1.05,2.27,0.7,1.39
June,,,,,,,,0.5,1.24,1.05,2.78,0.81,1.68,1.63,2.29,2.52,2.36,2.48,0.7,0.86,1.29,1.61,1.57,4,2.44,1.97,0.91,2.91,0.8,1.29
July,,,,,,,,1.94,2.64,2.44,2.71,1.44,1.39,1.55,4.12,2.08,1.62,1.44,0.83,4.24,1.42,1.18,2.6,2.42,0.58,2.98,3.6,1.08,1.89,2.64
August,,,,,,,,1.11,3.27,0.16,5.43,2.28,1.6,1.94,0.52,4.21,0.49,2.77,1.04,4.38,3.52,2.72,1.61,2.39,0.99,3.14,2.02,3.67,1.87,4.31
September,,,,,,,,1.33,0.93,1.23,0.32,1.01,1.66,1.94,1.92,2.54,1.32,1.6,0.96,3.18,2.15,3.22,2.1,1.93,1.47,3.04,2.82,4.04,0.06,2.75
October,,,,,,,,2.51,5.32,3.33,1.33,3.59,2.69,3.22,3.52,0.88,0.39,1.84,6.14,0.54,0.78,3.18,3.13,1.95,3.59,1.86,1.59,2.3,2.68,7.27
November,,,,,,,,3.6,5.12,7.18,3.11,1.74,1.17,3.88,0,5.02,0.99,1.97,2.75,5.98,7.48,3.22,1.46,4.63,1.63,0.56,2.95,2.25,2.9,4.47
December,,,,,,,,2.86,1.06,1.36,1.65,3.16,1.52,2.37,3.85,2.92,2.98,3.44,1.45,1.83,2.72,2.66,0.74,2.93,2.8,3.82,2.15,2.73,4.66,2.84
Total,,,,,,,,19.05,30.74,27.27,29.66,23.4,22.91,20.65,22.38,31.34,21.33,25.78,22.07,,39.55,27.25,19.27,29.05,22.28,23.52,23.77,29.11,22.71,33.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan 28-30 Estimated for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Apr Marked as estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Feb High Accept No nearby stations to compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938-1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
