"HOLMBRIDGE HOLME STYES RESERVOIR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3181,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,6.60,6.50,8.50,3.30,3.10,6.40,6.00,3.80,10.20,2.00,7.70,
February,4.60,0.30,5.80,4.10,2.40,6.70,4.00,1.30,6.20,0.50,0.70,
March,4.10,3.70,3.80,3.00,0.70,2.00,2.10,4.80,3.30,0.80,3.40,
April,6.00,1.20,4.60,3.00,2.70,3.40,3.20,4.20,1.80,1.90,4.00,
May,5.20,2.00,1.20,4.50,5.50,4.50,4.20,1.80,2.00,3.30,1.90,
June,5.50,0.00,3.60,0.80,1.90,0.00,3.40,4.50,5.00,1.10,4.40,
July,6.00,2.00,5.00,4.30,4.00,1.30,3.50,3.30,1.90,2.80,7.90,
August,2.50,5.80,6.50,4.60,3.20,4.30,4.30,5.40,4.00,4.70,4.30,
September,1.60,1.20,5.00,3.50,4.60,4.30,3.00,7.10,0.40,1.50,5.40,
October,3.00,1.40,1.30,4.60,6.20,6.50,5.40,6.30,6.40,5.50,6.00,
November,1.80,2.30,2.10,4.00,3.00,3.00,6.40,6.80,7.70,8.90,5.40,
December,5.50,8.70,3.70,2.60,6.60,5.40,2.30,3.20,3.70,10.50,4.00,
Total,52.40,35.10,51.10,42.30,43.90,47.80,47.80,52.50,52.60,43.50,55.10,
Calc annual,52.40,35.10,51.10,42.30,43.90,47.80,47.80,52.50,52.60,43.50,55.10,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
