HOLME STYES RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE141055,Long,-1.7882,Lat,53.5464,Elevation,830,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.5,6,2.1,2.6,7.7,1.4,3.9,5.5,2.3,4.9,3,3.8,3.5,8.3,2.8,2.5,4.1,0.7,6.3,3.2,0.7,0.3,0.4,4.3,7.3,9.4,3.5,5.6,2.3,2.4,3.2,6.3,5.6,5.2,1.4,4.9,4.6,1.9,2.4,3.7,10.2,8.7,3.4,4.4,5.1,5.4,2.8,6.5,2.1,4.9,2.9,6.3,2.1,5.7,4.6,3.1,7.1,5.1,1.8,4.9,5.3,6.6,6.5,8.5,3.3,3.1,6.4,6,3.8,10.2,2,7.7,4.7,5.7,4.45,4,2.32,4.7,5.92,,6.39,3.87,3.61,4.26,5.63,7.27,5.06,7.76,4.82,11.23,2.03,1.85,3.54,3.72,2.51,3.49,3.96,6.17,3.68,4.78,4.98,5.93,,
February,,,,,,,,,,4,1.8,5,1,2.5,4.6,3.6,6.7,2.9,3.6,6,1,2.5,4.1,0.5,1.5,0.4,4.5,4.4,1.3,2.5,4.3,4.9,2.1,3.6,2.9,4.3,2.4,1.3,1.4,3.6,0.8,0.5,4.3,8.3,10.8,0.9,1.9,4.3,4.3,1.8,6.2,2.3,1,6.3,7.4,3.5,5.3,3.4,3.7,1.4,4,5.3,2,1.3,3.3,6,8.7,2.6,6.9,3.7,4.6,0.3,5.8,4.1,2.4,6.7,4,1.3,6.2,0.5,0.7,6,0.56,5.32,0.2,7.3,2.67,5.53,,4.13,2.1,6.9,1.67,3.35,1.9,6.65,6.25,4.75,4.49,1.6,7.3,4.63,1.45,2.59,2.93,3.27,2.14,4.05,5.92,0.07,2.61,,
March,,,,,,,,,,5.9,7.2,8.9,5.4,1.2,3.2,1.2,2.4,2.3,4.8,1.2,3,1,3,3,4.1,0.9,5.6,1.8,1.2,1.9,3.1,4.2,3.9,1.4,2.3,3.2,3,1.7,6.1,4.2,5.6,3.5,1.7,1.3,5.4,4.5,6.9,6.4,3.4,3.8,1.2,5.7,2.7,8.5,3.5,4.7,5.1,3.1,4.6,4.5,0.7,2.4,4.2,5.7,4.3,1.4,8,2,1.6,6.6,4.1,3.7,3.8,3,0.7,2,2.1,4.8,3.3,0.8,3.4,0.55,3.2,2.2,4.4,1.9,4,4.04,,3.64,4.61,6.58,2.71,1.91,0.56,1.48,2.21,8.72,1.94,1.11,2.21,6.46,2.4,2.59,2.52,3.88,1.75,2.7,3.12,2.14,2.78,,
April,,,,,,,,,,5.9,2.6,1.5,3.8,1.5,1.8,1.3,1.8,4.1,2.6,2.5,1.2,4,5.2,0.3,2.2,1.5,2.7,3.1,1.7,2.9,2.7,0.9,4.1,2.8,2.9,2.5,3.6,1.2,5.8,5.1,1.8,3.1,1.7,0.8,3.1,3.4,1.9,4.6,3.5,4,3.4,2.3,3.1,2.4,3.7,3.6,1.1,2.7,3.1,3.2,3.1,2.4,0.7,4.2,1.1,1.5,2.4,3,1.2,3.2,6,1.2,4.6,3,2.7,3.4,3.2,4.2,1.8,1.9,4,4.6,5.21,1.5,3.1,3.15,1.76,2.7,,3.64,3.17,3.41,2.62,2.77,3.32,3.41,1.72,4.18,2.3,3.97,4.07,3.05,3.11,3.76,0.68,1.98,2.82,0.38,1.71,5.48,1.7,,
May,,,,,,,,,,0.3,4,1.6,3.4,3.2,2.8,3.7,2.6,2,0.9,7.2,0.3,1.8,2.6,2.2,1.4,2.1,0.9,4.6,5.2,2.7,2.7,3,0.9,1.5,2.4,2.8,6.6,2.6,1.3,3.6,3.8,4.1,4.7,2.1,1.7,0.9,0.5,1.6,4.6,3.5,1.9,1.3,3.1,4.2,4.3,0.3,3.4,4.9,3.2,1.9,4,1.4,3.8,2.5,2.1,1.7,2.1,2.1,2.7,2,5.2,2,1.2,4.5,5.5,4.5,4.2,1.8,2,3.3,1.9,3.3,5.85,2,3.1,0.62,1.63,3.16,,2.49,1.13,3.32,3.57,3.87,2.87,3.98,2.64,3.9,1.75,2.36,2.67,4.75,2.19,2.56,4.36,5.35,1.5,1.67,4.56,1.15,2.5,,
June,,,,,,,,,,3,7.2,4.3,4.6,4.6,2.2,0.6,5.7,2.4,0,1.2,0,4.9,4,2.3,0.5,4.7,3.4,2.3,2.7,5.3,3.4,1.9,5.2,4.9,1.4,3.6,2.3,0.6,3.7,0.4,3.2,3,4.3,1.9,3.5,3.4,3.8,5.4,2.9,1.8,2.9,1.5,1.7,1.7,1.2,1.7,1.3,6.5,2.6,4.1,4.2,3.3,5.9,2.2,4,0.7,3.3,1.8,2,1,5.5,0,3.6,0.8,1.9,0,3.4,4.5,5,1.1,4.4,4.9,0.6,3.15,1.8,3.7,4.72,1.62,,2.38,0.94,1.45,1.25,3.75,2.62,4.56,3.86,3.53,4.15,0.96,1.48,1.15,2.68,4.37,2.22,3.68,3.62,1.19,5.87,1.71,1.57,,
July,,,,,,,,,,2,2,6.8,4.2,1.5,1.1,3.1,5.3,4.7,0,1.1,0,3.3,4.2,2.3,1.5,5.6,2.6,3.7,0.9,4,5.3,1.8,3.8,3.4,3.1,1.6,4.7,0.9,10.3,3.8,3.3,2.9,3.3,4,4.2,7.1,1.9,3.1,1.2,2.2,3.1,2.9,3.1,3.4,3.3,2.4,2.9,3.2,3.8,6.2,4.2,0.2,6,1.3,2.9,4.3,1.4,1.8,2.8,3.3,6,2,5,4.3,4,1.3,3.5,3.3,1.9,2.8,7.9,4.5,6,3.13,2.55,1.7,3.5,2.7,,7.25,3.67,1.56,4.64,2.78,2.91,1.61,3.73,1.79,1.34,3.47,2.87,3.15,1.94,5.21,4.12,1.18,8.02,4.21,5.68,3.78,5.03,,
August,,,,,,,,,,8,5.9,2.8,1.6,5.5,1.8,4.6,5.5,2.8,2.2,1,1,1.3,4.5,3.3,4,3.6,1.9,5.2,5.6,6.3,1.2,4.3,2.4,3.2,1.4,2.1,2.7,2.3,4.1,5.3,4.1,7.5,4.6,3.5,3.9,3.6,2,4.6,5.8,1.7,6.3,2.4,3.8,5.9,4.2,4.7,2.7,3.5,3.9,2.3,6,4.3,7.7,1.5,3.1,5.9,1.5,6.5,1.3,4,2.5,5.8,6.5,4.6,3.2,4.3,4.3,5.4,4,4.7,4.3,6.8,3,0.85,2.3,2.2,1.77,1.81,,2.84,1.53,5.53,5.28,6.42,5.34,3.77,4.77,0.39,4.82,2.5,4.03,6.38,3.36,4.51,6.62,0.79,11.04,5.61,3.36,0.92,5.8,,
September,,,,,,,,,,5,3.6,5.3,3.9,4.4,3.1,0.5,5,2.9,4.2,5.6,4,6.4,5.8,3.7,3.3,4.7,5.4,4.1,3.4,1.3,4.3,2.7,2.4,5.8,3.2,4.7,3.4,4.7,1.4,3.7,1.8,4.6,4.1,2.9,0.8,1.1,8.2,4.2,0.7,7.6,1.1,0.7,2.7,6.1,1.7,2.7,1.3,0.9,3.2,3,0.4,3,1.9,2.4,2.3,0.4,2,2.4,12.9,1.5,1.6,1.2,5,3.5,4.6,4.3,3,7.1,0.4,1.5,5.4,5.6,4.7,2.4,3.1,8.16,5.3,1.93,,2.13,4.07,0.46,3.01,5.58,5.56,2.11,6.89,1.66,2,1.73,5.98,2.92,3.78,2.75,6.56,2.07,4.83,5.29,4.46,0.25,3.89,,
October,,,,,,,,,,6.5,7,1.2,7.9,7.1,5.1,5.4,2.5,3.5,4.4,1.4,8.8,3,6.1,3.4,5.1,6.3,2.1,3.6,2.7,1.8,5.5,5.1,3.9,6.9,2.8,10.5,5.7,3.7,1.3,6.8,2.8,7.5,8.7,2.6,6.6,5.7,7.3,2.2,6.1,4.6,6.9,3.1,6.2,12.5,1.6,3.6,7.4,7.2,1.7,5.2,2.3,4,4.4,3.8,2.5,2,7.8,6.7,3.3,4,3,1.4,1.3,4.6,6.2,6.5,5.4,6.3,6.4,5.5,6,2.2,6.8,5.3,4.7,10.26,4.87,4.2,,3.33,4.96,5.08,6.35,2.53,5.67,7.23,2.08,1.31,2.23,4.25,2.3,1.21,6.91,2.98,7.56,3.19,2.83,5.03,3.94,4.01,8.67,,
