"ESKDALEMUIR (CAIRN KNOWE)",,,,,,,,,,,,
Grid ref,NY199971,Long,-3.261933,Lat,55.261531,,,,,,,
Station no,5040/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.31,7.00,3.36,5.78,5.49,3.77,8.91,5.80,4.63,7.43,,
February,4.94,1.25,2.32,4.06,2.38,1.60,4.06,5.43,2.43,9.95,,
March,4.90,4.50,0.96,4.03,2.93,2.57,5.21,2.47,4.72,2.38,,
April,5.44,4.00,4.47,1.80,3.39,1.05,3.26,2.68,4.60,7.11,,
May,1.87,2.72,3.01,5.71,4.22,3.85,2.03,4.62,1.83,3.65,,
June,2.48,5.46,1.68,7.22,3.31,2.50,1.76,3.41,3.87,4.42,,
July,4.74,3.62,12.95,5.53,3.34,7.40,4.87,7.41,5.82,6.49,,
August,7.00,5.22,5.65,5.61,2.01,7.30,6.20,6.88,1.38,5.73,,
September,7.12,2.35,6.21,10.23,5.71,4.52,4.84,7.15,2.22,4.50,,
October,0.84,5.19,4.15,12.95,3.31,4.41,8.33,5.15,6.28,3.17,,
November,9.94,4.19,10.03,10.26,2.36,2.04,2.10,2.45,10.93,8.45,,
December,8.12,5.65,4.41,7.68,6.08,6.21,4.80,5.12,9.28,6.33,,
Total,65.70,51.15,59.20,80.86,44.53,47.22,56.37,58.57,57.99,69.61,,
Calc annual,65.70,51.15,59.20,80.86,44.53,47.22,56.37,58.57,57.99,69.61,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
