ST-IVES-LISCORVAH,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW520392,Long,-5.4758,Lat,50.2015,Elevation,300,ft,,,,,,,,,,,,,
Station no,1878,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,10.85,3.66,8.15,4.88,5.44,3.31,4.38,1.39,7.02,7.07,5.58,8.28,
February,,,,,,,,,4.66,3.68,3.34,2.9,0.02,3.82,0.32,4.11,5.99,6.44,2.3,2.45,
March,,,,,,,,,6.73,0.63,3.59,3.66,2.37,4.05,3.97,0.96,4.99,4.84,0.53,1.53,
April,,,,,,,,,3.07,1.3,3.18,1.45,2.5,2.25,2.98,4.41,,3.08,0,3.12,
May,,,,,,,,,1.84,5.59,1.87,3.57,5.33,2.58,1.23,1.18,1.44,2.18,2.88,1.14,
June,,,,,,,,,2.91,3.72,1.55,3.28,2.88,1.66,1.69,3.39,1.52,1.43,2.16,1.91,
July,,,,,,,,,1.9,2.21,3.61,4.66,1.93,1.95,0.3,0.43,7.42,1.2,3.74,5.54,
August,,,,,,,,,,3.46,6.35,3.38,1.86,1.17,3.12,2.81,,0.46,4.63,2.18,
September,,,,,,,,,2.29,0.82,6.74,2.59,5.28,2.46,4.06,4.3,3.73,3.04,2.9,0.66,
October,,,,,,,,,8.78,7.46,6.07,1.09,8.17,7.41,3.33,4.74,1.4,2.96,5.08,2.57,
November,,,,,,,,,5.4,13.39,6.87,9.93,2.08,,2.55,6.73,4.89,3.35,8.68,,
December,,,,,,,,,5.84,7.96,4.44,1.69,3.34,2.15,12.45,5.2,5.46,4.98,4.63,,
Total,,,,,,,,,,53.88,55.76,43.08,41.2,,40.38,39.65,,41.03,43.11,,
,,,,,,,,,,,,,,,,,,,,,
Liscorvah later called Watch Croft,,,,,,,,,,,,,,,,,,,,,
1928 Aug Estimated,,,,,,,,,,,,,,,,,,,,,
1933 Nov Estimated ,,,,,,,,,,,,,,,,,,,,,
1936 Apr Aug Estimated,,,,,,,,,,,,,,,,,,,,,
1939 Nov Dec Estimated,,,,,,,,,,,,,,,,,,,,,
1940 Station terminated,,,,,,,,,,,,,,,,,,,,,
