SKELDALE SMADEN HEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE215683,Long,-1.672639,Lat,54.110134,Elevation,793,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,5.09,1.16,1.68,0.88,3.65,3.85,1.1,2.1,1.43,4.85,4.24,1.74,1.38,3.4,3.27,1.06,4.66,0.94,2.12,1.44,4.7,1.45,,,,,,,,
February,,,,,,,,,,,0.81,0.25,1.97,2.59,5.76,0.4,0.68,1.55,2.27,1.76,3.55,1.12,1.49,3.76,3.16,1.62,2.14,1.65,1.78,0.92,3.16,2.88,,,,,,,,
March,,,,,,,,,,,2.68,1.47,0.91,0.54,2.39,1.38,3.97,3.1,0.66,1.35,0.41,2.58,1.16,4.94,2.2,3.24,1.78,2.44,4.02,4.43,0.11,1.66,,,,,,,,
April,,,,,,,,,,,0.92,2.69,1.45,0.64,2.53,1.88,1.24,1.44,2.63,2.44,1.82,2.33,1.49,1.74,2.46,2.4,0.51,1.87,2.17,3.19,2.93,1.14,,,,,,,,
May,,,,,,,,,,1.72,2.15,2.05,2.64,2.11,1.59,0.49,0.6,0.47,2.64,3.75,1.47,1.11,2.38,4.79,3.53,0.67,2.88,4.38,3.13,1.91,1.96,1.57,,,,,,,,
June,,,,,,,,,,0.26,2.91,1.13,4.05,1.69,3.35,2.46,3.41,1.65,1.54,1.21,2.67,1.62,1.7,1.84,1.72,1.27,0.86,4.96,1.25,1.94,2.75,2.63,,,,,,,,
July,,,,,,,,,,2.01,1.43,2.63,1.26,2.48,2.57,4.82,1.86,1.05,1.72,2.58,1.59,2.78,2.14,3.31,2.44,0.81,1.24,2.2,3.23,3.85,2.86,0.37,,,,,,,,
August,,,,,,,,,,3.47,4.03,4.34,3.56,2.85,2.8,2.31,1.67,2.21,3.22,1.47,6.07,1.92,2.49,3.74,4.28,4.08,3.46,1.85,2.81,3.11,4.8,2.84,,,,,,,,
September,,,,,,,,,,0.78,2.15,2.02,1.04,1.56,0.53,1.73,4.97,2.07,1.03,3.7,0.77,1.41,1.51,4.87,1.77,2.63,0.64,0.66,3.61,2.35,0.27,2.71,,,,,,,,
October,,,,,,,,,,4.51,0.88,3.26,7.17,2.11,5.07,3.95,3.42,1.59,4.9,2.93,5.37,1.89,3.22,8.94,0.92,2.27,5.74,6.37,2.67,3.28,4.66,3.63,,,,,,,,
November,,,,,,,,,,0.73,2.51,3.41,1.45,1.16,0.88,3.72,0.76,1.6,2.27,2.3,4,3.97,2.49,1.82,1.89,5.84,3.24,2.7,1.82,1.42,3.39,4.19,,,,,,,,
December,,,,,,,,,,1.25,0.89,4.43,0.76,2.08,1.58,1.73,3.89,3.01,3.56,3.46,3.38,3,3.07,2.45,2.49,1.14,1.78,4.29,1.41,4.4,3.75,5.41,,,,,,,,
Total,,,,,,,,,,,26.45,28.84,27.94,20.69,32.7,28.72,27.57,21.84,27.87,31.8,35.34,25.47,24.52,45.6,30.13,27.03,28.93,34.31,30.02,32.24,35.34,30.48,,,,,,,,
