"CARSPHAIRN, CARLIN'S CAIRN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX496883,Long,-4.3626207,Lat,55.166083,Elevation,1250,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5018/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,15.31,12.61,15.54,12.39,15.76,5.2,11.93,10.22,10.5,7.24,2.6,1.7,,11.55,6.54,5.3,,,11.66,8.41,
February,,,,,,,,,,,0.62,9.33,0.2,8.87,1.41,13.48,5.53,9.36,6.69,9.76,2.86,3.2,3.37,,2.66,10,,1,7.9,8.37,
March,,,,,,,,,,,6.04,2.07,4.71,6.68,5.22,2.92,6.48,5.16,5.62,8.66,7.15,3.9,,,1.32,5.4,,,6.38,,
April,,,,,,,,,,,3.93,3.84,9.63,4.93,6.11,7.42,3.25,3.86,1,4.12,3.87,3.29,,4.56,4.25,5.1,2.69,,,,
May,,,,,,,,,,,3.17,6.28,4.57,4,8.3,1.49,1.99,4.21,7.66,1.32,2,,5.16,,4.42,6.22,1.69,4.25,1.39,,
June,,,,,,,,,,,4.47,11.12,4.79,4.92,4.97,9.07,3.65,3.19,9.5,5.5,1,,1.98,,4.6,5.12,3.97,4.96,,,
July,,,,,,,,,,,9.11,7.94,7.49,9,4.53,5.46,14.36,7.69,10.48,8.16,5.3,,,,3.46,5.38,6.15,4.93,4.5,,
August,,,,,,,,,,,13.45,4.19,2.72,7.55,10.55,3.01,5.27,6.5,4.98,3.92,2.83,,8.67,9.65,5.2,2.58,4.35,0.05,8.96,,
September,,,,,,,,,,,7.93,2.56,11.01,1.89,12.34,12.09,6.17,4.05,7.33,3.09,7.53,,10.42,4.09,6.97,8.43,14.37,7.87,8.24,,
October,,,,,,,,,,10.98,15.59,8.46,12.13,6.42,15.13,17.47,8.5,4.63,14.12,4.78,5.91,,9.53,10.3,7.72,9.94,1.09,2.85,,,
November,,,,,,,,,,16.32,11.84,20.59,9.14,4.8,2.64,10.62,7.1,1.88,10.8,13.22,12.01,,1.83,5.4,6.65,0.91,11.97,11.15,,,
December,,,,,,,,,,21.86,10.71,10.45,19.65,2.8,19.58,8.81,12.87,4.6,11.85,4.38,12.47,,10.02,5.5,7.25,9,,,,,
Total,,,,,,,,,,,102.17,99.44,101.58,74.25,106.54,97.04,87.1,65.35,100.53,74.15,65.53,,,,61.04,73.38,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Sept estimated and removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942 Jan 9, Mar 4.5, Apr 4, July 4.98 and total estimated/corrected from nearby stations, and removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943 Feb 9.47, Mar 3.59, May 5.91, June 6.2, July 2.36 and total part estimated by ref to other stations, removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1946 Jan 11, Feb 5.5, Mar 3.5, Dec 9 and total estimated and removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947 Jan 8.5, Mar 6, Ap 11, Dec 4.5 and total estimated and removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
