STORNOWAY (BACK SCHOOLHOUSE),,,,,,,,,,,,
Grid ref,NB482401,Long,-6.296507,Lat,58.277184,,,,,,,
Station no,5796/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,3.40,3.42,3.90,5.03,5.77,5.89,7.83,4.16,,
February,,,2.90,3.18,2.66,2.49,2.51,3.89,1.99,3.32,,
March,,,1.94,3.91,1.54,1.59,3.80,2.16,2.00,1.08,,
April,,,4.18,1.56,1.56,2.11,2.18,1.71,5.80,3.02,,
May,,,2.11,3.31,2.34,2.48,2.17,3.80,1.40,1.35,,
June,,,1.32,4.03,2.28,2.08,4.32,1.30,2.73,2.42,,
July,,,4.75,2.40,0.74,4.57,3.09,1.38,4.00,2.74,,
August,,,4.56,2.25,1.38,3.09,4.30,3.80,2.90,4.33,,
September,,,2.49,4.97,4.38,3.44,3.64,3.17,2.80,3.05,,
October,,,4.28,7.73,4.91,5.24,5.52,3.77,5.70,1.95,,
November,,,6.67,5.15,2.95,4.85,3.08,2.19,6.57,3.82,,
December,,,4.01,8.22,7.21,4.48,6.87,3.21,5.64,4.94,,
Total,,,42.61,50.13,35.85,41.45,47.25,36.27,49.36,36.18,,
Calc annual,0.00,0.00,42.61,50.13,35.85,41.45,47.25,36.27,49.36,36.18,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
