"RUSHTON MANOR",,,,,,,,,,,,
Grid ref,SP844827,Long,-0.759933,Lat,52.435768,,,,,,,
Station no,RR4408,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,1.95,0.89,4.10,0.92,1.33,1.19,,
February,,,,,3.61,0.67,2.00,1.32,1.12,0.60,,
March,,,,,1.51,3.21,1.58,1.14,2.81,2.61,,
April,,,,,0.94,2.01,0.56,2.17,2.94,1.50,,
May,,,,,1.90,1.01,1.57,4.62,1.29,1.49,,
June,,,,,0.84,2.93,3.35,1.83,1.29,3.19,,
July,,,,,2.48,1.07,0.41,2.73,2.15,2.70,,
August,,,,,1.84,2.85,1.35,2.58,2.80,1.87,,
September,,,,,1.84,2.20,1.07,0.55,1.67,2.23,,
October,,,,,0.48,1.08,4.59,3.97,1.26,3.31,,
November,,,,,1.26,2.81,4.67,2.38,0.80,0.66,,
December,,,,,1.66,0.87,2.78,3.28,1.49,4.37,,
Total,,,,,20.31,21.60,28.03,27.49,20.95,25.72,,
Calc annual,0.00,0.00,0.00,0.00,20.31,21.60,28.03,27.49,20.95,25.72,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,-0.00,0.00,-0.00,,
