MUNDESLEY-ON-SEA,,,,,,,,,,,,,,,,,,,,
Grid ref,TG316364,Long,1.4401301,Lat,52.875181,Elevation,65,ft,,,,,,,,,,,,
Station no,RR8017,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,3.06,,0.67,2.53,1.74,2.61,,,,
February,,,,,,,,,,,1.94,,2.1,0.57,1.05,2.83,,,,
March,,,,,,,,,,,0.67,,2.48,2.3,2.88,1.85,,,,
April,,,,,,,,,,,1.83,,0,2.12,0.33,0.63,,,,
May,,,,,,,,,,,2.18,,0.51,1.33,1.33,1.45,,,,
June,,,,,,,,,,,2.3,,3.29,0.69,1.59,0.64,,,,
July,,,,,,,,,,,2.74,,2.46,1.34,3.22,3.85,,,,
August,,,,,,,,,,,1.1,,9.47,1.02,1.2,3.1,,,,
September,,,,,,,,,,,0.47,,1.37,1.15,1.15,1.25,,,,
October,,,,,,,,,,,2.12,,3.3,3.23,2.02,1.8,,,,
November,,,,,,,,,,1.22,4.64,,2.64,1.74,2.1,3.35,,,,
December,,,,,,,,,,5.14,3.46,,2.31,1.16,5.2,3.79,,,,
Total,,,,,,,,,,,26.51,,30.6,19.18,23.81,27.15,,,,
