"GLENLEVEN ( BLACKWATER DAM S ) NO 2",,,,,,,,,,,,
Grid ref,NN245601,Long,-4.867937,Lat,56.699543,,,,,,,
Station no,5404,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.46,6.52,9.16,8.26,5.40,6.34,16.46,9.59,4.56,8.31,,
February,6.48,5.05,8.30,5.99,5.64,6.16,6.73,6.08,7.06,8.00,,
March,5.14,7.84,4.03,6.39,1.93,4.73,7.71,3.45,8.58,2.63,,
April,9.11,5.14,6.24,3.43,4.70,3.81,3.89,5.93,7.53,9.77,,
May,1.30,3.37,6.35,5.18,5.15,8.55,2.24,8.30,1.93,5.23,,
June,3.39,6.65,3.05,5.40,4.56,4.75,3.54,2.91,7.36,4.80,,
July,6.22,5.03,10.31,3.93,1.21,7.22,7.59,4.57,8.36,6.53,,
August,8.09,5.91,6.80,6.54,2.88,6.74,9.22,7.92,7.03,7.75,,
September,9.16,7.74,11.83,11.96,9.87,9.82,5.43,7.83,2.87,4.52,,
October,4.60,12.92,7.25,16.28,8.53,8.56,10.82,12.28,11.82,3.68,,
November,12.89,4.66,19.81,15.86,4.35,7.50,3.04,2.83,12.47,11.63,,
December,17.22,8.99,11.32,18.77,15.20,18.20,14.62,9.96,15.31,12.47,,
Total,95.06,79.82,104.45,107.99,69.42,92.38,91.29,81.65,94.88,85.32,,
Calc annual,95.06,79.82,104.45,107.99,69.42,92.38,91.29,81.65,94.88,85.32,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
