MINFFORD-PLAS-PENRHYN,,,,,,,,,,,,,,,,,,,,
Grid ref,SH590379,Long,-4.0986516,Lat,52.919955,Elevation,220,ft.,,,,,,,,,,,,
Station no,4330/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,6.95,5.62,4.56,2.83,5.89,4.7,6.45,6.46,3.93,2.52,7.46,6.41,5.18,2.77,6.13,4.83,,,
February,,0.05,4.83,0.56,6.37,2.25,7.94,2.05,,4.39,3.8,2.84,4.62,2.22,5.78,4.91,0.75,3.65,,
March,,2.91,3.01,3.34,1.68,3.19,1.75,2.93,3.01,3.75,3.59,3.6,1.63,1.44,2.44,1.79,,1.97,,
April,,4.07,2.17,2.88,3.97,1.7,4.52,0.62,2.41,3.31,2.2,2.17,3.4,3.39,2.13,1.3,,2.16,,
May,,5.57,1.96,5.6,1.86,1.88,1.38,2.58,0.38,1.87,3.18,3.88,4.92,2.74,3.32,1.24,2.44,1.59,,
June,,1.47,4.34,2.79,8.47,5.87,3.34,6.07,3.29,1.37,1.01,0.31,4.24,3.26,3.56,5.23,3.32,6.94,,
July,,5.56,2.67,1.03,1.62,6.12,3.2,6.68,8.91,3.55,3.79,5.75,3.37,4.42,2.94,3.69,,,,
August,,3.01,3.3,6.01,3.35,3.97,3.1,3.14,3.97,1.26,4.73,5.2,4.08,3.47,1.92,4.86,,6.22,,
September,,3.86,1.14,5.47,9.45,6.24,5.7,2.68,1.24,4.19,1.99,4.88,5.22,5.1,3.5,6.68,2.85,5.06,,
October,,8.16,7.77,8.17,8.51,3.56,4.11,8.18,2.46,5.15,6.42,6.77,6.15,6.46,4.38,1.24,0.29,4.11,,
November,,4.78,2.26,1.65,6.57,7.16,1.18,7.64,,8.31,3,1.22,4.89,6.54,0.71,6.77,5.27,4.29,,
December,,6.46,2.39,8.33,3.18,7.06,1.83,5.16,4.79,6.55,3.13,7.08,2.04,3.89,5.95,6.18,3.96,,,
Total,,52.85,41.46,50.39,57.86,54.89,42.75,54.18,,47.63,39.36,51.16,50.97,48.11,39.4,50.02,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is from 1940s records and is Plas Penrhyn. Altitudes match,,,,,,,,,,,,,,,,,,,,
