LOCH SLOY ( CAM ALLT )  - NEW SITE,,,,,,,,,,
Grid ref,NN266143,Long,-4.803185,Lat,56.28936,Elevation,1600,ft,,
Station no,5333/6/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,15.82,3.75,7.8
February,,,,,,,,5.39,5.92,11.97
March,,,,,,,,3.29,11.87,4.51
April,,,,,,,,5.46,8.94,13.26
May,,,,,,,,8.65,3.27,6.73
June,,,,,,,,4,7.45,5.98
July,,,,,,,,6.11,12.44,10.68
August,,,,,,,,10.23,8.97,5.96
September,,,,,,,,10.79,3.3,5.59
October,,,,,,,14.35,13.61,14.01,7.49
November,,,,,,,6.12,3.17,16.71,14.5
December,,,,,,,18.56,13.68,18.58,15.38
Total,,,,,,,,100.2,115.21,109.85
,,,,,,,,,,
Station no,5333/6/1,,,,,,,,,
Midas,13722,,,,,,,,,
Hyd Stn,662066,1,,,,,,,,
