"LOCH SLOY (CAM ALLT)",,,,,,,,,,,,
Grid ref,NN266143,Long,-4.803185,Lat,56.289360,,,,,,,
Station no,5333/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,12.32,7.69,7.86,19.55,14.28,3.57,,,
February,,,,7.70,5.66,6.36,9.27,6.73,6.06,,,
March,,,,8.55,1.80,5.34,13.51,3.29,12.16,,,
April,,,,5.84,9.54,5.30,4.94,5.70,9.19,,,
May,,,,6.19,7.30,8.57,4.83,8.73,3.33,,,
June,,,,9.65,7.59,8.90,4.85,3.95,7.53,,,
July,,,,7.84,1.22,10.76,11.57,5.99,12.43,,,
August,,,,9.81,2.98,9.44,11.63,10.22,,,,
September,,,,17.37,13.92,10.94,9.72,10.27,,,,
October,,,,19.61,12.06,9.90,16.42,13.25,,,,
November,,,,23.32,7.79,9.91,5.69,2.83,,,,
December,,,,25.64,20.02,21.13,16.63,13.05,,,,
Total,,,,153.84,97.57,114.41,128.61,98.29,,,,
Calc annual,0.00,0.00,0.00,153.84,97.57,114.41,128.61,98.29,54.27,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
