MALBOROUGH-UPALONG,,,,,,,,,,,,,,,,,,,,
Grid ref,SX710398,Long,-3.81023,Lat,50.24432,Elevation,350,ft,,,,,,,,,,,,
Station no,1669/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.82,6.99,6.53,5.54,6.52,3.03,5.33,5.63,7.03,3.78,,,,,,
February,,,,,3.82,3.84,8.71,1.32,2.12,4.53,5.32,0.34,1.43,0.87,,,,,,
March,,,,,1.49,5.11,4.4,0.45,1.47,3.61,3.93,3.67,1.28,0.21,,,,,,
April,,,,,5.32,2.06,3.69,0.09,2.52,3.55,1.5,1.84,0.83,2.33,,,,,,
May,,,,,2.26,0.61,2.8,3.35,0.71,1.72,3.4,5.33,3.03,0.3,,,,,,
June,,,,,4.52,1.52,1.28,0.9,4.28,0.93,3.59,0.42,1.79,2,,,,,,
July,,,,,0.58,5.8,1.59,3.56,5.57,2.16,0.96,1.56,2.24,,,,,,,
August,,,,,2.97,0.82,0.95,5.49,3.18,0.06,4.55,3.07,3.45,,,,,,,
September,,,,,4.55,3.43,2.72,1.95,0.8,2.15,0.76,3.3,4.04,,,,,,,
October,,,,,4.7,1.55,3.93,4.84,7.17,3.74,1.65,4.72,3.65,,,,,,,
November,,,,,7.65,3.98,4.28,7.5,7.85,8.58,2.6,1.17,2.48,,,,,,,
December,,,,,5.34,4.34,3.9,3.87,2.76,4.8,3.55,4.93,3.41,,,,,,,
Total,,,,,44.02,40.05,44.78,38.86,44.95,38.86,37.14,35.98,34.66,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Upalong marked on openstreetmap.org,,,,,,,,,,,,,,,,,,,,
1946 Observer died No one to continue obs,,,,,,,,,,,,,,,,,,,,
