"CASTLECAULFIELD (PARKANAUR)",,,,,,,,,,,,
Grid ref,IH739614,Long,-6.860085,Lat,54.495780,,,,,,,
Station no,6250,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.74,4.12,1.28,2.07,4.02,2.80,4.29,3.66,2.16,4.05,,
February,2.04,0.69,0.67,3.52,3.40,1.06,2.41,4.50,1.09,2.85,,
March,3.27,2.07,0.62,2.84,0.93,2.27,3.45,2.16,3.37,2.86,,
April,1.87,1.30,1.29,0.53,3.71,1.42,1.64,1.57,4.13,2.15,,
May,2.02,1.16,2.78,3.77,3.35,0.22,1.68,2.71,1.39,2.98,,
June,2.82,2.95,1.25,2.99,6.29,2.71,2.30,6.49,3.00,3.26,,
July,3.42,1.34,5.60,4.59,1.08,4.45,3.76,5.12,3.65,5.15,,
August,5.48,4.47,3.13,2.59,0.99,6.78,4.93,4.31,0.93,5.46,,
September,3.72,1.44,3.06,4.74,3.78,3.53,4.49,4.78,1.46,3.39,,
October,1.28,6.01,1.88,5.73,2.82,2.88,3.82,3.38,5.32,4.41,,
November,6.61,2.65,3.01,4.35,2.21,2.31,1.22,2.34,5.13,4.12,,
December,4.85,3.82,3.65,5.05,3.80,5.01,4.84,5.86,5.82,3.70,,
Total,40.12,32.02,28.22,42.77,36.38,35.44,38.83,46.88,37.45,44.38,,
Calc annual,40.12,32.02,28.22,42.77,36.38,35.44,38.83,46.88,37.45,44.38,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
