LEAMINGTON BINSWOOD AVENUE,,,,,,,,,,,,,,,,,,,,
Grid ref,SP317665,Long,-1.536606,Lat,52.295719,Elevation,219,ft,,,,,,,,,,,,
Station no,RR4699,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,0.7,0.77,1.54,1.93,0.69,3.89,0.9,0.73,1.1,2.18,0.88,3.54,3.47,0.8,2.22,,,,
February,,1.36,1.49,1.15,3.26,0.65,2.04,1.12,1.02,0.51,2.28,1.52,1.56,0.9,1.38,2.75,,,,
March,,1.32,1.58,3.53,1.39,2.69,1.02,0.69,3.53,2.89,0.7,2.15,3.26,3.4,2.68,0.95,,,,
April,,2.61,2.05,1.45,0.86,1.66,0.4,2.11,3.59,1.64,2.17,0.95,0.18,3.28,2.13,,,,,
May,,0.93,2.16,2.75,2.01,0.28,2.06,4.62,1.56,1.88,1.64,0.9,3.64,2.69,1.29,,,,,
June,,2.4,2.93,2.6,0.54,3.17,3.49,2.17,1.36,3.1,2.24,0.88,3.38,0.67,2.75,,,,,
July,,1.95,1.04,3.35,4.44,1.08,1.08,2.17,2.02,3.06,2.09,0.12,4.38,1.82,2,,,,,
August,,,,3.07,2.73,4.36,1.27,3.54,3.31,2.24,3.13,2.17,5.99,0.95,1.63,,,,,
September,,,1.2,1.81,1.95,1.83,1.16,0.4,1.52,3.07,0.68,1.53,0.82,2.16,0.83,,,,,
October,,1.11,2.76,6.72,0.56,1.04,4.33,4.06,1,3.46,2.33,2.15,2.56,3.39,2.36,,,,,
November,1.91,0.68,1.46,1.74,1.27,2.03,2.7,1.93,1.09,0.8,4.11,2.65,1.51,2.96,2.66,,,,,
December,5.15,3.72,1.32,1.13,1.03,0.76,1.62,3.28,1.96,3.34,3.76,3.66,3.04,1.07,5.6,,,,,
Total,,,,30.84,21.97,20.24,25.06,26.99,22.69,27.09,27.31,19.56,33.86,26.76,26.11,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge  moved 700yds east (NE) to Lillington Road in April 1915,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
