BEDFORD (QUEENS PARK),,,,,,,,,,,,
Grid ref,TL037494,Long,-0.486368,Lat,52.133182,,,,,,,
Station no,1179/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.55,1.40,0.97,1.01,,,,,,,,
February,3.14,0.64,1.75,1.77,,,,,,,,
March,3.11,3.18,0.53,2.12,,,,,,,,
April,3.14,1.83,2.35,0.33,,,,,,,,
May,2.31,1.92,1.90,3.01,,,,,,,,
June,0.82,0.85,2.60,2.55,,,,,,,,
July,1.65,0.56,2.13,2.63,,,,,,,,
August,2.80,2.72,3.44,3.22,,,,,,,,
September,1.61,3.53,0.80,1.58,,,,,,,,
October,0.95,2.83,1.87,1.57,,,,,,,,
November,4.00,2.90,1.24,3.61,,,,,,,,
December,1.28,2.06,0.46,2.30,,,,,,,,
Total,27.36,24.42,20.04,25.72,,,,,,,,
Calc annual,27.36,24.42,20.04,25.70,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.02,NaN,NaN,NaN,NaN,NaN,NaN,,
