WORCESTER ST JOHNS,,,,,,,,,,,,,,,,,,,,
Grid ref,SO804710,Long,-2.2890823,Lat,52.336729,Elevation,95,ft,,,,,,,,,,,,
Station no,RR4442,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,2.12,4.27,1.49,2.06,0.45,0.63,2.11,3.21,2.84,,,,,
February,,,,,,,2.48,1.88,1.54,2.37,2.97,3.84,2.3,3.24,1.86,,,,,
March,,,,,,,2.82,1.89,0.69,0.6,1.86,1.5,1.31,0.99,2.36,,,,,
April,,,,,,,2.83,2.52,2.55,2.6,1.43,0.68,2.92,0.78,,,,,,
May,,,,,,,0.43,1.98,6.56,2.12,1.72,2.25,1.87,1.01,,,,,,
June,,,,,,,1.32,0.82,1.82,4.06,4.74,2.17,2.45,2.49,,,,,,
July,,,,,,,0.8,3.54,1.82,2.42,5.54,1.46,4.27,2.65,,,,,,
August,,,,,,,2.22,4.81,5.15,7.02,0.56,4.67,2.08,0.78,,,,,,
September,,,,,,,4.06,1.98,2.96,3.12,3.94,2.22,2.28,4.41,,,,,,
October,,,,,,,2.85,1.59,3.6,1.01,4.98,2.06,5.02,2.45,,,,,,
November,,,,,,,3.19,3.05,2.84,0.73,2,2.75,3.69,3.96,,,,,,
December,,,,,,,5.96,1.42,1.88,0.51,2.54,2.29,2.68,0.61,,,,,,
Total,,,,,,,31.08,29.75,32.9,28.62,32.73,26.52,32.98,26.58,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge moved 1 mile north in March 1894 - csv 2,,,,,,,,,,,,,,,,,,,,
NGR distance direction from church as no other indication at all.,,,,,,,,,,,,,,,,,,,,
