PERTH GEN PRISON,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 11783 22405,Long,-3.430333,Lat,56.385662,Elevation,38,ft,,,,,,,,,,,,
Station no,RR6151,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,4.08,3.44,5.59,1.69,5.98,2.08,,1.46,,1.68,,,,,,,
February,,,,2.31,0.79,1.4,3.81,2.6,1.33,,3.14,3,2.14,,,,,,,
March,,,,1.47,2.13,2,2.79,2.07,0.42,,2.69,2.5,3.2,,,,,,,
April,,,,0.19,2.04,0.98,3.92,3.08,1.36,,3.26,0.33,3.65,,,,,,,
May,,,,3.45,1.95,1.08,0.37,2.22,4.09,,0.57,2.96,2.72,,,,,,,
June,,,,1.38,0.53,,2.14,3.9,2.79,,,2.22,3.48,,,,,,,
July,,,,3.9,3.25,1.86,1.76,3.97,0.44,,,,4.44,,,,,,,
August,,,4.07,2.36,4.62,2.32,3.83,7.63,4.87,,,4.04,1.47,,,,,,,
September,,,4.56,3.3,2.99,2.87,3.01,1.88,2.35,,2.82,3.98,2.55,,,,,,,
October,,,3.73,3.75,3.33,5.26,4.96,4.6,2.93,,0.86,5.03,3.14,,,,,,,
November,,,5.42,2.08,4.05,4.76,4.79,3.74,2.17,,2.69,3.94,4.16,,,,,,,
December,,,5.28,1.99,1.64,2.86,10.94,1.14,1.47,,2.67,1.63,,,,,,,,
Total,,,,30.26,30.76,,44.01,42.81,26.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR6151,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
