PROBUS-LAMELLYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW894482,Long,-4.95829,Lat,50.296071,Elevation,240,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,4.55,8.5,1.44,8.26,3.15,6.78,0.96,2.51,3.02,4.36,4.15,3.36,6.22,3.39,2.17,2.63,4.99,3.48,2.47,3.1,4.99,6.13,1.42,4.15,1.04,6.06,6.33,3.69,2.6,4.6,5.93,2.78,6.1,1.78,1.38,2.96,4.92,1.34,4.46,6.31,1.42,4.52,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,4.48,2.16,5.15,2.66,2.2,5.51,3.99,4.79,3.72,7.04,6.29,4.99,2.42,1.01,1.38,3.05,1.51,0.17,4.88,5.12,2.38,0.15,0.75,4.81,1.82,5.7,6.47,1.94,2.25,1.82,7.2,1.38,5.44,1.81,2.32,0.53,5.75,1.71,3.82,1.14,4.47,7.64,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.56,1.45,5.13,3.31,2.11,1.75,3.04,4.33,2.15,2.26,3.81,1.96,3.82,2.02,4.21,4.45,1.97,2.88,1.16,0.23,1.91,3.3,3.15,4.48,1.79,1.37,2.92,3.21,2.75,5.23,2.6,5.03,1.19,1,5.17,4.37,0.88,3.29,5.45,3.77,5.82,0.77,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,2.14,1.88,3.19,4.99,3.88,2.82,2.56,1.58,7.31,2.02,1.94,3.86,2.4,0.9,1.56,2.87,2.99,1.9,1.43,0.07,4.13,2.04,0.97,5.03,2.17,2.87,2.12,4.08,2.31,1.91,1.32,3.05,1.31,4.91,1.97,2.12,2.53,1.48,0.47,3.26,2.32,1.5,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.45,3.03,0.23,4.55,5.15,2.54,1.29,0.82,1.58,2.33,1.08,3.18,2.62,1.75,1.63,3.88,4.43,2.11,1.37,1.06,2.46,0.92,0.05,1.28,4.17,2.45,1.83,1.27,1.99,2.49,2.98,0.71,3.54,2.27,1.98,0.89,2.14,0.53,1.94,3.29,1.21,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.45,3.04,1.36,2.46,3.24,7.01,2.34,3.89,4.26,4.42,2.34,2.6,1.16,0,3.24,0.86,4.13,2.51,1.96,1.05,2.05,1.54,1.24,1.99,1.93,1.36,3.72,2.14,3.66,1.34,1.93,2.41,1.55,2.97,1.51,2.34,2.53,2.54,4.89,1.31,1.89,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,1.72,2.97,1.06,3.75,1.69,4.51,4.06,3.23,5.23,3.8,3.68,0.46,4.42,1.7,9.13,3.59,3.75,2.06,3.19,4.03,4.55,3.26,2.13,2.38,0.8,1.01,0.92,1.25,2.35,4.47,5.25,0.5,1.72,1.94,2.09,2.48,2.27,1.23,4.36,0.47,4.94,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,5.9,4.26,2.99,4.94,6.7,5.19,5.83,0.25,5.26,3.81,1.33,1.78,2.31,2.06,1.67,3.67,3.6,3.52,6.29,4.63,1.75,3.67,2.54,1.87,4.09,2.82,1.59,2.92,1.44,1.65,4.08,2.4,4.66,2.22,1.32,3.9,1.57,4.37,1.99,10.92,1.12,1.81,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,3.1,6.18,6.07,6.58,3.5,2.97,3.68,3.67,2.03,4.85,5.95,2.58,6.46,4.06,4.02,1.36,1.72,2.45,3.47,2.52,2.49,2.06,0.29,4.61,4.67,1.22,3.32,1.81,3.95,3.15,3.42,2.39,1.06,0.84,2.25,3.94,1.28,0.19,2.67,1.28,3.13,2.43,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,3.95,4.35,7.83,4.75,2.89,5.63,2.2,9,3.03,6.04,4.17,2.12,8.69,7.18,4.58,2.37,7.22,3.11,7.76,5.8,4.53,5.7,7.99,5.17,1.69,7.82,3.6,3.01,3.19,2.91,9.42,2.38,2.07,5.11,8.02,2.57,6.4,5.96,3.85,4.07,4.81,3.3,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
