FULBOURN-FLEAM-DYKE-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL540549,Long,0.250489,Lat,52.170877,Elevation,99,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,2.75,1.91,1.6,2.57,0.93,1.28,2.34,2.57,1.95,2.03,1.77,1.2,2.49,0.93,1.87,1.92,2.71,1.31,1.57,1.55,0.76,1.24,1.05,2.23,2.75,3.05,2.43,4.49,1.55,2.23,2.15,4.01,1.15,2.06,1.07,1.54,3.06,0.83,1.03,1.98,1.44,0.99,1.01,2.07,2.31,0.89,1.93,2.26,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,0.89,0.54,1.26,2.09,3.29,0.46,0.78,2.88,0.34,0.31,1.15,2.15,0.79,2.14,2.18,2.67,1.04,0.39,0.45,2,0.42,1.75,0.44,1.76,2.2,2.53,0.57,0.69,2.01,1.83,1.55,0.75,0.9,1.18,1.59,1.5,0.74,0.54,2.57,2.93,0.64,1.38,1.97,1.83,0.69,1.4,2.74,0.12,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,2.28,1.34,3.18,1.38,2.9,1.86,0.69,1.98,1.4,0.63,1.23,1.64,0.36,0.74,0.24,1.42,1.26,0.06,1.47,0.12,1.21,1.55,1.35,0.52,0.52,3.05,0.45,1.59,3.27,3.01,1.04,0.42,0.5,0.84,1.33,3.93,0.69,0.64,0.35,3.06,3.13,0.46,1.93,1.54,0.4,0.76,0.74,1.77,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,0.16,1.4,0.54,0.83,1.24,1.3,2.88,2.37,3.04,1.34,2.06,1.03,2.38,2.09,2.53,1.42,0.67,1.14,1.98,2.85,2.06,1.18,1.81,2.45,1.43,2.55,0.31,2.67,1.28,0.94,0.86,0.95,1.31,0.82,1.29,1.52,1.14,1.37,1.45,3.06,0.97,1.95,0.39,0.39,0.82,0.14,1.04,1.8,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,0.9,2.51,1.25,1.84,1.88,0.91,1.76,0.45,2.37,1.02,1.1,0.95,4.32,1.98,2.09,0.45,1.67,0.95,2.5,2.66,4.13,1.76,0.64,0.79,1.16,2.01,1.63,1.07,1.21,2.02,2.1,1.32,1.04,1.42,1.91,0.51,2.5,1.73,2.62,2.07,1.66,1.27,2.92,1.74,0.7,0.51,2.48,0.46,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.39,1.09,1.65,1.91,1.39,2.06,0.37,1.21,1.4,0.47,1.01,0.58,1.52,0.59,2.29,2.55,1.92,0.87,0.74,1.24,0.52,2.51,1.54,2.27,3.15,1.57,0.6,1.75,0.28,0.6,0.68,2.26,1.08,1.32,2.02,2.43,1.93,0.73,0.98,1.11,1.45,2.6,1.64,1.94,1.52,1.79,5.66,1.49,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,2.63,1.24,1.22,3.41,1.4,3.02,3.78,3.94,3.16,0.28,3.62,2.23,2.88,2.52,2.74,2.47,2.57,2.29,2.62,3.49,2.25,0.96,2.4,0.64,5.38,1.88,1.4,2.37,3.91,1.95,3.44,0.7,1.71,1.42,3.55,1.73,1.15,1.26,4.05,1.33,0.46,1.96,2.7,0.21,2.3,2.74,2.76,5.09,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,6.74,1.32,0.77,2.4,2.11,3.84,0.84,2.08,1.13,1.1,1.9,3.2,2.29,1.69,1.25,2.37,1.82,0.57,1.34,3.2,2.33,1,2,1.35,0.62,0.86,1.58,2.9,0.13,4.36,1.18,1.18,2.16,1.55,2.97,0.3,4.96,1,2.56,3.01,4.53,1.87,3.71,0.84,3.05,2.13,2.12,1.54,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,1.79,1.26,0.65,1.39,1.3,1.16,5.27,1.03,1.85,1.25,2.08,2.08,2.07,2.55,2.61,3.24,0.56,0.18,3.05,2.42,2,1.91,1.35,4.02,3.32,2.03,3.73,2.35,0.44,0.51,1.76,1.2,2.45,2.75,2.61,1.05,1.44,0.39,2.27,2,2.54,1.37,1.47,2.21,1.11,3.4,2.53,0.1,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,2.16,3.48,1.74,0.92,2.35,3.6,1.34,0.57,0.5,0.83,0.51,3.7,2.77,2.39,2.17,1.69,2.47,2.67,0.79,0.54,3.61,1.87,1.53,1.59,1.64,1.86,2.36,4.13,1.44,2.02,3.84,1.55,2.8,1.84,1.19,0.23,1.57,3.44,0.17,0.91,1.66,2.17,1.51,2.8,0.95,1.84,2.04,1.63,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
