CAMBERLEY-CORDWALLES,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU893617,Long,-0.71918,Lat,51.3474,Elevation,400,ft,,,,,,,,,,,,,
Station no,247,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.71,2.59,2.36,3.31,1.72,3.51,1.42,3.32,1.36,2.08,2.04,1.63,0.63,4.13,4.14,2.7,4.78,2.76
February,,,,4.25,0.44,3.71,2.14,4.37,1.68,0.59,0.64,1.56,0.18,3.51,0.1,2.79,2.09,3.93,0.58,1.04,2.01
March,,,,2.75,1.01,1.44,0.66,2.87,1.85,0.03,1.27,0.24,1.41,2.86,2.32,0.3,1.87,3.04,0.23,1.1,2.94
April,,,,2.44,3.2,2.12,3.46,1.84,1.91,0.74,1.99,3.79,2.6,0.98,2.05,3.19,1.8,2.15,0.08,2.44,1.87
May,,,1.42,2.59,3.24,2.44,1.53,1.24,1.86,1.93,2.2,3.39,4.21,3.65,0.5,1.47,1.11,2.59,1.63,1.28,1.2
June,,,0.9,0.34,2.99,0,2.96,2.95,2.15,1.16,0.44,1.57,1.2,2.62,1.32,3.6,3.54,1.87,0.62,1.11,0.83
July,,,4.61,1.49,3.74,3.66,2.46,4.28,1.63,2.39,2.69,3.23,2.48,2.09,2.22,0.53,3.77,0.67,1.3,2.69,2.07
August,,,2.74,2.51,2.89,3.43,0.91,3.23,2.08,1.42,2.9,4.89,1.34,0.65,2.81,3.05,1.37,2.29,1.88,2.59,0.12
September,,,1.94,1.73,3.72,3.1,1.74,5.16,1.15,0.11,3.02,1.93,2.53,2.19,1.17,3.88,2.35,2.06,1.03,1.13,1.52
October,,,0.95,5.62,3.8,3.01,2.63,1.16,4.35,3,1.47,0.5,4.36,1.94,1.5,2.99,1.68,2.41,2.53,5.66,
November,,,1.45,1.81,2.77,1.99,5.34,3.84,1.82,6.08,4.12,2.7,1.19,0.89,2.12,5.02,2.64,1.44,3.14,4.95,
December,,,3.42,2.4,4.51,2.98,0.35,4.45,2.44,5.73,2.23,0.47,0.49,0.55,5.49,2.62,1.98,3.93,3.27,1.08,
Total,,,,29.64,34.9,30.24,27.49,37.11,26.43,24.6,26.29,25.63,24.07,23.97,23.23,30.07,28.33,30.52,18.99,29.85,
,,,,,,,,,,,,,,,,,,,,,
Cordwalles School,,,,,,,,,,,,,,,,,,,,,
1922 Apr Marked as estimated,,,,,,,,,,,,,,,,,,,,,
1930 Gauge moved in summer 5yds NW,,,,,,,,,,,,,,,,,,,,,
1940 Oct Moved to Broughton Hall Staffs,,,,,,,,,,,,,,,,,,,,,
