CORK GENERAL HOSPITAL A.M.D. - number 2 gauge,,,,,,,,,,,,,,,,,,,,
Grid ref,IW6737272364,Long,-8.4748229,Lat,51.902822,Elevation,39,ft,,,,,,,,,,,,
Station no,RR2064,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,3.41,4.55,7.02,4.72,4.02,6.79,11.01,2.2,,,,,
February,,,,,,,,2.2,1.2,2.63,2.04,3.94,5.74,3.67,6.33,,,,,
March,,,,,,,4.52,5.44,3.04,2.08,2.99,1.76,3.71,5.78,2.29,,,,,
April,,,,,,,2.8,2.4,1.08,3.01,1.85,2.33,1.51,4.8,2.32,,,,,
May,,,,,,,1.46,4.26,0.39,5.75,4.67,1.59,2.23,2.98,0.81,,,,,
June,,,,,,,4.41,0.51,0.77,0,0.79,4.49,4.66,4.49,1.82,,,,,
July,,,,,,,0.68,1.76,0.97,2.74,0,7.06,6.91,6.41,,,,,,
August,,,,,,,4.09,3.13,4.43,1.1,1.45,2.09,5.11,5.17,,,,,,
September,,,,,,,2.77,0.62,4.38,5.05,3.88,3.15,3.98,4.23,,,,,,
October,,,,,,,2.76,3.1,2.82,1.21,6.73,5.77,4.19,3.11,,,,,,
November,,,,,,,1.44,0.74,4.67,1.86,3.81,3.2,10.17,5.85,,,,,,
December,,,,,,,5.05,1.47,8.78,5.23,4.2,5.22,10.41,1.13,,,,,,
Total,,,,,,,,29.04,37.08,37.68,37.13,44.62,65.41,58.63,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR for Cork's North Infirmary, the first general hospital opened in Cork in 1690. Closed 1987",,,,,,,,,,,,,,,,,,,,
Management changed and hospital extended from 1867.,,,,,,,,,,,,,,,,,,,,
