VENTNOR-CEMETERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ556777,Long,-1.2153,Lat,50.5971,Elevation,443,ft, ,,,,,,,,,,,,,,,,,,,,,
Station no,592/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.94,2.93,2.12,5.09,6.09,3.89,5.65,3.85,4.49,4.12,5.47,2.48,1.94,2.7,2.89,6.3,1.12,1.7,4.95,2.9,1.33,1.86,4.1,5.2,2.91,5.13,3.86,4.91
February,,,3.27,0.04,3.56,2.8,5.37,1.08,1.59,3.9,3.18,0.33,1.3,1.09,2.25,3.32,1.69,1.76,0.9,4.97,6.58,0.92,1.09,3.59,1.63,0.36,4.65,3.57,0.37,2.7
March,,,2.78,2.56,1.37,2.38,4.2,0.51,1.46,3.69,3.76,3.13,0.82,0.2,0.9,1.51,6.95,0.55,1.95,1.07,4.75,4.15,0.37,3.96,1.12,0.28,2.22,1.49,2.06,2.51
April,,,1.74,2.36,3.69,1.97,2.12,0.01,2.56,1.89,1.16,1.4,1.14,1.57,1.54,2.77,1.98,1.31,1.13,1.96,2.43,1.57,1.16,0.41,0.52,1.88,0.28,0.49,2.47,1.34
May,,,2.28,0.76,1.44,0.23,1.94,1.37,1.66,0.8,1.82,3.79,1.85,0.31,1.91,2.81,1.41,2.34,1.38,1.68,3.01,2.11,2.51,2.01,3.68,0.36,0.65,2.73,0.79,2.2
June,,1.97,1.09,1.19,2.72,5.16,0.82,0.44,1.84,0.22,1.14,0.76,1.21,1.98,2.44,2.82,1.85,1.26,0.39,0.84,1.37,1.29,1.89,2.94,3.89,2.61,3.03,3.26,0.6,1.46
July,,3.17,1.4,0.32,0.28,4.04,1.62,1.53,2.42,3.23,2.31,2.25,3.38,3.35,4.07,2.54,1.82,1.85,0.21,4.33,1.58,0.41,2.56,5.13,0.85,2.27,4.15,1.42,2.2,3.91
August,,1.21,1.2,1.71,3.74,0.3,1.83,1.66,2.09,0.01,4.19,2.74,1.04,2.64,1.95,4.25,0.81,4.1,1.12,2.75,4.08,1.96,1.62,3.99,1.33,4.9,3.07,4.31,1.54,6.37
September,,3.11,4.46,3.1,4.36,3.36,3.04,2.14,0.87,2.48,0.7,3.03,1.41,1.81,2.11,2.82,1.31,1.67,3.85,3.83,4.26,6.45,3.34,3.64,2.03,4.13,4.79,3.59,0.25,6.02
October,,8.39,2.63,2.24,4.1,1.52,2.37,4.76,8.72,4.38,0.92,4.44,3.64,3.78,2.78,0.88,1.6,2.34,8.24,1.14,1.61,4.29,3.08,3.5,1.85,0.6,2.87,2.65,4.16,8.5
November,,2.44,1.06,4.12,8.56,5.47,2.1,4.86,8.67,9.04,2.51,1.5,2.14,4.93,0.47,4.57,2.25,2.46,3.82,5.9,8.57,6.08,2.25,5.34,1.5,0.93,2.56,3.52,4.73,7.17
December,,1.51,1.42,9.27,4.25,2.75,6.15,3.42,1.7,2.57,2.15,4.32,2.91,2.23,4.89,3.73,3.48,3.63,3.31,2.6,2.83,4.38,0.99,3.47,5.78,5.39,2.92,3.84,7.93,6.31
Total,,,25.27,30.6,40.19,35.07,37.65,25.67,39.23,36.06,28.33,31.81,26.31,26.37,27.25,34.72,28.04,29.57,27.42,32.77,46.02,36.51,22.19,39.84,28.28,28.91,34.1,36,30.96,53.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associated with Ventnor Park Climatological Station at different site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data on Ventnor Park climat. Station is now from this Cemetery site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 June 1st Gauge from Public Park ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Oct 31st Inspection. Gauge very old and out of shape. New gauge recommended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 June 18th Inspection. Gauge worn out. New gauge and 2 measures supplied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Total adjusted by 0.01 to correct sum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 May 23rd Inspection. Badly over sheltered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 May 10th Inspection. Site considered unsatisfactory because of over sheltering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Oct Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Oct 23rd Inspection. Gauge not level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
