RHIWBRYFDIR OAKLEY QUARRIES,,,,,,,,,,,,
Grid ref,SH693469,Long,-3.949187,Lat,53.003418,,,,,,,
Station no,4336,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,11.84,5.56,6.10,15.60,8.81,7.53,14.66,6.80,14.04,5.92,,
February,6.06,2.80,2.19,12.20,6.71,5.44,8.58,5.25,8.97,2.64,,
March,0.29,7.45,6.33,12.98,8.47,11.42,11.72,8.27,8.92,8.73,,
April,4.79,5.36,2.86,4.10,9.72,8.43,2.81,5.02,6.18,8.82,,
May,4.97,2.16,6.44,5.08,6.07,2.84,12.33,5.58,8.90,3.22,,
June,9.34,8.12,4.68,3.29,2.66,4.39,4.70,16.97,6.95,4.33,,
July,5.43,2.04,4.55,11.21,6.16,6.36,3.38,5.58,11.00,11.11,,
August,14.90,12.43,8.00,17.79,8.52,9.41,13.09,11.80,7.68,4.30,,
September,6.97,3.45,2.98,11.28,5.67,5.44,3.56,1.65,9.71,9.46,,
October,12.98,10.75,9.24,21.45,8.84,8.30,13.03,11.32,2.67,17.43,,
November,11.29,11.58,6.25,11.73,8.13,9.73,8.94,6.62,8.97,5.83,,
December,16.91,10.72,10.19,8.42,11.76,5.04,11.79,10.83,11.73,16.75,,
Total,105.77,82.42,69.81,135.13,91.52,84.33,108.59,95.69,105.72,98.54,,
Calc annual,105.77,82.42,69.81,135.13,91.52,84.33,108.59,95.69,105.72,98.54,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
