WILLENHALL-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO978985,Long,-2.0339025,Lat,52.584303,Elevation,390,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2332/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.02,,2.98,3.23,3.32,5.23,2.93,1.49,2.08,1.97,3.72,1.21,0.62,1.74,2.23,0.66,1.26,1.71,2.21,1.13,1.45,1.6,3.67
February,,,,,,,,0.93,1.07,2.59,2.49,1.15,1.73,1.78,2.01,2.79,1.23,0.95,0.69,3.3,1.64,0.39,1,1.78,1.4,0.4,2.22,2.72,0.16,1.34
March,,,,,,,,0.61,1.53,1.87,3.07,1.69,0.94,0.59,1.07,0.82,4.82,1.09,1.44,0.88,3.8,1.66,1.1,1.53,2.31,0.49,1.86,1.14,1.45,1.37
April,,,,,,,,0.21,1.84,2.89,1.59,1.63,1.18,2.06,1.28,1.46,2.26,1.81,2.07,1.4,1.74,1.85,1.99,0.49,1.04,1.03,0.14,0.59,2.23,0.65
May,,,,,,,,1.76,1.27,3.18,3.35,4.49,3.38,0.83,3.06,2.47,2.73,1.91,2.05,1.51,2.23,2.49,1.45,2.29,3.46,0.43,1.19,2.1,0.69,0.91
June,,,,,,,,1.66,1.46,0.92,0.92,1.24,1.59,1.53,2.7,2.52,2.21,3.02,0.34,1.62,0.74,2.36,2.16,2.57,2.13,1.55,1.11,3.2,0.73,1.77
July,,,,,,,,3.69,4.64,2.34,3.33,1.69,1,2.72,1.83,1.83,4.47,2.1,1.77,2.5,0.4,1.35,2.73,3.21,0.62,2.32,2.77,4.13,1.69,1.98
August,,,,,,,,2.79,2.82,0.39,4.35,2.82,1.88,1.67,2.18,4.55,0.84,3.9,1.19,2.72,4.14,2.99,2.07,4.62,1.02,3.38,3.15,1.7,1.81,2.1
September,,,,,,,,1.25,1.64,1.2,0.87,1.37,1.9,3.3,1.38,3.22,1.66,2.12,1.12,3.29,2.13,1.1,2.34,2.14,2.19,1.73,2.88,3.74,0.1,3.37
October,,,,,,,,3.19,3.8,3.37,2.48,2.9,2,3.28,2.63,0.6,0.37,2.64,4.98,0.55,0.89,3.52,1.87,2.91,1.16,1.13,0.9,1.38,1.51,2.41
November,,,,,,,,3.6,5.21,6.58,3.34,1.12,1.59,4.07,0.33,4.91,1.76,1.5,2.37,3.46,4.44,2.32,2.07,4.09,2.22,0.82,1.57,1.04,1.65,1.85
December,,,,,,,,3.41,1.38,2.21,1.67,3.13,1.33,1.64,2.67,2.74,2.09,3.69,1.07,1.68,1.74,3,0.97,2.01,1.39,2.72,1.32,1.66,1.98,1.39
Total,,,,,,,,26.12,,30.52,30.69,26.55,23.75,26.4,22.63,29.99,26.41,28.45,20.3,23.53,25.63,25.26,20.41,28.9,20.65,18.21,20.24,24.85,15.6,22.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 2981 WILLENHALL S WKS start 1938 end 1962 but src_id 2980 WILLENHALL S WKS NO 2 (1962 to 2011) is 300m away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is Willenhall Sewage Works. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
