Rainfall at,ST HELEN'S ECCLESTON HILL
,
Station no,2821,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.48,4.10,3.28,2.12,3.14,1.65,3.46,3.31,7.02,2.08,4.84,
February,2.38,0.20,3.46,3.52,0.96,4.77,2.86,1.58,3.31,1.01,0.24,
March,3.28,1.93,1.96,1.87,1.23,1.04,1.02,2.97,1.63,0.75,3.21,
April,3.94,1.09,2.29,2.87,1.87,1.57,0.76,2.25,1.01,0.63,2.46,
May,6.23,2.07,1.23,3.30,5.59,3.43,3.53,1.38,1.19,2.13,1.12,
June,3.80,0.35,2.20,0.70,2.63,0.05,1.50,4.06,5.70,1.67,1.81,
July,6.80,2.01,4.44,3.18,4.33,3.23,2.90,3.80,2.29,2.55,4.22,
August,2.00,4.16,2.95,3.54,6.21,4.27,3.40,5.33,5.57,3.96,6.61,
September,3.06,1.10,3.90,3.24,4.06,4.13,3.38,5.13,1.53,1.95,3.07,
October,1.06,2.69,0.37,4.26,3.67,4.03,3.74,2.91,4.80,5.37,5.26,
November,0.72,2.17,2.32,4.12,1.58,2.83,4.61,4.30,5.39,6.34,5.23,
December,2.56,4.34,5.11,5.42,3.33,2.48,1.21,1.33,2.43,5.66,4.58,
Total,39.31,26.21,33.51,38.14,38.60,33.48,32.37,38.35,41.87,34.10,42.65,
Calc annual,39.31,26.21,33.51,38.14,38.60,33.48,32.37,38.35,41.87,34.10,42.65,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
