BATH-MOUNT-BEACON-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST749660,Long,-2.36106,Lat,51.39317,Elevation,450,ft,,,,,,,,,,,,,
Station no,1985,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,4.11,1.87,3.12,2.65,2.24,0.86,3.65,3.96,3.07,4.86,2.43,3.2,2.99,5.11,2.03,1.68,2.45,2.08,5.89,,
February,0.87,2.45,0.02,3,0.17,2.33,2.43,4.73,0.91,1.49,4.33,2.81,0.54,1.63,0.83,3,3.42,0.98,1.48,,
March,1.94,0.55,2.14,3.14,2.64,0.87,2.23,3.86,0.12,1.72,2.58,3.93,1.91,1.22,0.51,1.09,0.78,5.66,1.29,,
April,1.82,2.47,3.61,1.04,2.34,4.87,2.02,2.8,0.09,3.45,2.4,1.25,1.47,0.92,1.78,1.02,2.32,2.8,2.09,,
May,1.67,3.08,4.72,2.06,1.11,1.61,0.57,2.33,1.87,1.02,2.14,1.52,4.99,2.96,1.32,2.9,4.04,3.6,4.09,,
June,0.46,2.76,1.08,1.13,1.72,5.62,2.87,1.26,1.01,2.58,0.6,2.17,0.36,1.84,2.16,3.49,3.44,1.81,2.35,,
July,2.77,4.47,4.27,2.78,1.65,1.61,6.42,3.03,3.43,4.1,4.04,1.77,3.36,2.16,2.4,1.42,1.34,4.09,0.93,,
August,4.42,3.69,1.07,1.2,3.18,1.73,0.35,0.95,3.13,3.23,0.1,5.41,4.9,3.48,2.29,3.2,5.29,0.88,3.43,,
September,4.03,2.25,4.73,3.17,2.37,5.54,3.75,2.22,3.8,1.82,1.66,0.54,1.87,3.47,2.46,2.4,3.98,1.61,2.17,,
October,2.91,1.06,6.12,2.38,1.91,5.18,1.48,3.27,4.74,3.43,3.47,1.94,3.62,3.29,4.78,3.65,1.12,0.42,3.55,,
November,4.58,3.65,1.91,0.71,1.43,6.63,3.48,1.7,4.19,5.65,8.34,1.67,1.58,2.13,5.74,0.43,4.74,2.01,1.59,,
December,3.66,1.57,1.29,1.1,5.57,3.64,2.89,2.06,3.41,2.21,1.35,1.96,3.91,1.78,2.25,4.25,2.52,2.76,4.3,,
Total,33.24,29.87,34.08,24.36,26.33,40.49,32.14,32.17,29.77,35.56,33.44,28.17,31.5,29.99,28.55,28.53,35.44,28.7,33.16,,
,,,,,,,,,,,,,,,,,,,,,
End of 1929 gauge moved from Lansdown Place,,,,,,,,,,,,,,,,,,,,,
